county,year,crmrte,avgsen,polpc,density,taxpc,wcon,wtuc,wtrd,wfir,wser,wmfg,wfed,wsta,wloc,mix,pctymle
83,81,0.0314616,10.26,0.0015685,0.7638121,30.86219,197.4132,306.5775,161.5263,218.7627,160.014,256.24,367.93,250.33,208.61,0.1598639,0.0883066
85,81,0.0383181,7.91,0.0013922,1.006656,20.25876,166.9972,259.0002,166.0666,209.3895,181.7673,213.28,361.18,271.77,208.79,0.132778,0.1138525
87,81,0.0249672,9.89,0.0014799,0.845045,25.04969,208.6178,334.7335,158.344,226.5861,175.5958,384.4,409.12,217.66,205.4,0.0834862,0.0808827
89,81,0.0268278,10.85,0.0009298,1.614973,18.84713,221.7742,384.6154,172.315,211.8644,194.5667,296.56,428.67,207.44,218.87,0.0884774,0.0715268
91,81,0.0327883,10.13,0.0014543,0.6573034,22.85382,201.1061,280.6653,159.076,219.4115,182.5293,221.1,338.05,228.33,206.75,0.1679749,0.1008849
93,81,0.0371141,7.84,0.0013549,0.5370844,18.71499,143.2079,160.2564,145.373,179.4872,185.3568,215.19,357.62,269.52,197.5,0.0957143,0.1034976
97,81,0.0417355,10.78,0.0015449,1.458188,16.17589,231.2561,320.1751,185.3309,243.1907,182.0798,237.14,386.74,240.54,231.93,0.0634727,0.0838441
99,81,0.0186696,17.03,0.001442,0.5356416,34.26277,189.9335,297.3178,137.4919,215.2698,186.9135,169.81,367.63,284.27,214.55,0.022869,0.1398492
101,81,0.0306114,8.14,0.0012205,0.9018868,21.78304,164.6671,261.5385,163.7385,203.5771,173.8672,235.84,364.96,240.57,206,0.0932117,0.0823628
105,81,0.0626787,7.51,0.0018435,1.436293,49.78291,230.4304,310.4803,193.1624,225.8159,207.4356,258.37,296.21,182.26,224.54,0.1777108,0.0855046
107,81,0.0434509,9.3,0.0015707,1.495025,22.94168,211.3024,280.0878,166.0947,248.317,202.6203,284.28,422.61,234.23,233.2,0.08107,0.0864914
109,81,0.0149547,9.16,0.001017,1.439597,19.04224,201.8044,317.6764,177.7162,227.519,190.5752,232.42,377.3,267.91,216.36,0.1636691,0.0841339
111,81,0.0231378,11.96,0.0008694,0.819222,18.53749,183.5143,461.5385,159.9843,231.1896,173.906,187.41,291.15,255.67,217.39,0.1458333,0.0762992
113,81,0.0121416,7.39,0.0017067,0.410058,22.30019,187.6173,287.5629,130.4413,173.6111,223.3251,195.82,260.49,238.64,172.74,0.1635514,0.0964656
115,81,0.0053566,25.83,0.0087044,0.3813747,22.99769,168.3502,321.7898,161.8622,225.4642,151.2532,331.64,347.37,229.03,214.53,0.2307692,0.0856251
117,81,0.0127531,11.77,0.0005024,0.5704989,29.25831,182.8277,320.5128,160.1624,202.4292,170.7996,235.78,343.37,238.97,215.56,0.3414634,0.0809707
119,81,0.0816495,13.82,0.0018753,7.814394,36.34335,296.2678,396.2894,271.7476,321.9396,260.9232,331.79,488.68,253.12,259.43,0.1148375,0.0908055
123,81,0.0374067,10.87,0.0015457,0.4632653,22.69097,242.6595,327.9666,158.8934,218.7932,182.9648,204.43,286.65,242.39,220.66,0.3050847,0.0877541
125,81,0.0330362,15.39,0.0017074,0.7303852,21.81275,194.3079,353.0487,157.9434,245.3926,195.3464,215.11,365.56,250.98,220.18,0.0961792,0.0844627
127,81,0.0495042,13.54,0.0007317,1.257407,19.22906,219.622,322.887,193.1002,328.2547,212.9582,219.9,400.19,250.21,213.93,0.1005976,0.0851622
129,81,0.0839218,8.56,0.0020641,5.702703,27.90159,236.4805,343.1713,177.72,237.6693,206.7997,322.79,425.53,277.72,226.45,0.1040986,0.0898363
131,81,0.0218448,10.1,0.0012496,0.4126394,23.54628,150.0938,274.7253,162.3558,168.691,150.7114,196.41,323.29,246.49,172.86,0.3602305,0.0978319
133,81,0.041821,10.13,0.0012256,1.491481,18.98292,209.0301,262.9063,159.6113,199.095,174.007,206.19,290.15,220.77,195.4,0.1586224,0.2743584
135,81,0.0570824,9.09,0.002192,1.9375,21.4534,214.6487,350.3911,138.5328,261.3052,211.8692,283.74,401.79,329.12,210.18,0.0724952,0.1444227
137,81,0.0127292,19.06,0.00057,0.3049853,27.0492,196.6783,320.5128,120.9745,169.6833,186.7065,127.08,266.98,217.52,217.93,0.0634921,0.0798046
139,81,0.0278244,8.88,0.001639,1.25,18.27306,204.2206,288.7062,164.6542,229.6792,184.4903,197.79,365.12,251.8,194.74,0.2807018,0.1096039
141,81,0.0287834,7.8,0.0010216,0.2582857,21.47009,156.6952,266.5651,173.8842,174.8252,145.496,170.23,304.22,253.03,205.97,0.0909091,0.0863153
143,81,0.0240664,9.54,0.0009336,0.3902439,16.77721,169.6833,282.8054,166.7408,213.6752,104.8951,159.88,315.25,255.8,194.28,0.2888889,0.0820288
145,81,0.028504,7.85,0.0012481,0.7361809,41.40154,204.5827,406.8871,152.5387,218.5315,166.9899,242.69,345.48,209.01,230.09,0.0628931,0.0871926
147,81,0.0515935,8.2,0.0016307,1.39726,23.73709,201.4795,277.0767,163.7208,245.5796,234.4143,260.03,451.85,327.38,220.61,0.0587432,0.1231098
149,81,0.0209532,19.13,0.0073952,0.5714286,16.09222,199.8002,274.7253,137.0364,195.5671,145.9186,202.9,376.68,226.14,215.85,0.0625,0.0695569
151,81,0.0241835,14.13,0.000991,1.173638,14.30256,236.2321,304.2717,169.7852,241.3273,208.1289,228.12,382.32,212.47,212.19,0.1135913,0.0840227
153,81,0.0372807,11.31,0.0012766,0.9538784,23.01333,190.761,282.696,155.9667,207.2489,175.4844,245.89,377.69,245.73,213.79,0.1023672,0.0851878
155,81,0.0441616,9.14,0.0012708,1.083246,31.99544,195.3125,323.2902,173.0732,233.3743,192.1808,196.58,370.2,270.96,207.25,0.1161857,0.0915176
157,81,0.0360251,10.75,0.0018656,1.481547,24.17161,225.9353,327.8209,157.9952,225.5639,181.9221,286.35,384.3,230.24,227.85,0.0939405,0.0838999
159,81,0.035173,8.39,0.0016769,1.932563,15.75846,252.2513,323.1793,188.6161,223.2143,209.5462,265.52,388.31,253.21,210.84,0.1403992,0.0858354
161,81,0.0222742,10.2,0.0013818,0.9630282,18.15993,193.7428,347.3766,163.0195,244.6317,191.7503,237.73,372.57,181.18,216.58,0.0689655,0.0794516
163,81,0.0248116,9.5,0.0013496,0.5269271,21.02991,149.7874,277.9013,170.2091,204.4216,205.6533,218.18,346.21,238.59,213,0.0853769,0.083051
165,81,0.0477432,8.19,0.0017694,1.025078,23.65049,201.333,324.7412,172.4472,244.0828,201.4652,262.93,372.94,248.06,202.69,0.0823364,0.0918021
167,81,0.0294232,12.38,0.0015282,1.227273,21.68331,231.6624,318.0473,171.2007,225.949,205.1628,230.29,364.18,243.45,216.54,0.0972644,0.0853847
169,81,0.0145053,10.6,0.0008042,0.7455752,26.42513,203.7368,442.398,153.7301,213.6752,170.068,221.73,317.25,230.84,199.64,0.0633188,0.0824758
171,81,0.0189838,10.32,0.0013737,1.109462,19.58383,267.1756,293.152,171.0741,235.5506,195.906,215.62,367.89,219.13,217.74,0.0659851,0.0834044
173,81,0.0134337,6.45,0.0054956,0.1977186,23.76874,144.7477,250.8361,151.8219,183.1502,162.3758,172.68,306.65,268.78,185.7,0.11,0.0848613
175,81,0.0175623,14.91,0.0015162,0.6322751,25.38036,190.4037,323.4266,139.646,208.8409,181.1893,437.03,255.4,239.51,182.35,0.0451128,0.0951802
179,81,0.028366,10.67,0.0014945,1.13302,23.32127,258.1836,257.5549,195.0484,238.1908,205.145,237.38,379.94,270.09,236.82,0.192906,0.0930994
181,81,0.0563677,13.64,0.0015673,1.485944,20.02369,156.1663,269.6273,206.0082,207.3206,171.9226,234.88,419.47,211.8,202.15,0.058346,0.0848776
183,81,0.0601894,9.11,0.0018376,3.617096,29.11141,248.035,379.6718,230.1352,278.0956,214.2128,292.55,440.57,306.85,271.69,0.0639142,0.1089895
185,81,0.0107527,7.18,0.011828,0.3793911,47.8802,146.5201,224.359,137.6606,206.044,166.0839,186.96,308.78,241.9,209.66,0.6666667,0.085924
187,81,0.0338507,5.43,0.0011939,0.4427711,21.43002,170.3992,344.4317,162.057,213.6752,143.5132,191.72,341.98,244.14,195.88,0.0880361,0.0895135
189,81,0.0314674,14.59,0.0021745,1.038217,21.71702,187.9494,311.086,137.411,210.1224,171.5151,205,360.77,304.53,198.5,0.0552083,0.1581173
191,81,0.0371162,12.18,0.0011395,1.761733,18.57096,220.3025,303.8318,178.7849,228.7606,187.213,224.97,282.02,260.01,221.92,0.1067961,0.1041378
193,81,0.0192107,4.64,0.000926,0.7859043,17.44954,222.9224,329.5925,206.0276,246.3821,208.0373,210.31,375.44,244.42,221.05,0.1525252,0.0860937
195,81,0.0631212,10.11,0.0017569,1.695187,24.62795,222.2222,289.8593,192.8789,293.2288,243.7925,290.6,388.05,237.91,233.3,0.1227477,0.0894729
197,81,0.0178621,11.35,0.0008308,0.8571429,16.64038,183.1502,291.3753,151.3533,228.9377,156.9114,230.08,317.48,260.86,209.1,0.0617284,0.0806272
1,82,0.0383449,5.59,0.0017666,2.330254,24.87425,212.7542,369.2964,189.5414,300.8788,231.5767,240.33,419.7,253.88,236.79,0.1030491,0.0863767
3,82,0.0190651,5.71,0.0007047,0.992278,35.64073,186.9658,345.7217,156.8826,225.0409,208.819,217.77,386.42,374.07,219.18,0.0473118,0.0864722
5,82,0.0123229,9.7,0.0013555,0.4170213,19.52253,147.929,343.4066,160.7526,213.6752,166.7064,164.62,314.61,247.59,188.48,0.0204082,0.0737947
7,82,0.0173807,6.11,0.0014165,0.4878049,55.98516,308.418,326.1756,181.7081,212.1041,239.6713,219.56,355.16,226.52,230.82,0.2472527,0.0821775
9,82,0.0087368,9.95,0.0007389,0.5352113,17.20366,395.9276,28.8577,149.326,235.0427,180.5706,204.66,287.12,270.16,218.16,0.369863,0.0778554
11,82,0.0198536,4.32,0.0013588,0.5951417,22.88071,215.9605,320.5128,158.7005,205.2723,197.6682,173.32,290.17,247.69,225.78,0.276699,0.1049686
13,82,0.0363259,5.32,0.0013436,0.5048426,22.52288,205.612,286.4157,172.4643,241.0695,198.3213,221.54,381.69,272.44,209.87,0.13772,0.0779813
15,82,0.0200047,9.48,0.0008473,0.3024251,23.05781,188.537,169.6833,179.1843,263.9517,188.3426,200.53,347.44,265.44,204.61,0.303681,0.087408
17,82,0.0211586,5.5,0.001345,0.3492605,24.06734,166.1918,289.09,173.3922,217.1216,162.1529,255.62,338.7,219.72,204.18,0.288,0.084344
19,82,0.0183782,8.26,0.001936,0.4534884,56.80268,225.2252,489.0038,139.9941,211.5385,194.1957,428.16,368.82,265.38,187.42,0.1064189,0.0822037
21,82,0.0367896,7.01,0.0017689,2.485584,24.50407,241.853,369.2143,197.0567,285.1188,237.9542,293.62,393.66,291.59,238.06,0.0643183,0.0789607
23,82,0.0290211,6.38,0.0013685,1.470238,18.24509,203.073,336.8322,179.2207,263.6476,236.5089,251.49,407.54,269.65,258.71,0.082041,0.0899827
25,82,0.0370917,8.25,0.0016122,2.450549,19.71914,239.8677,319.1938,194.6381,263.132,245.4318,225.55,418.23,295.17,264.25,0.0778621,0.0827224
27,82,0.0371544,8,0.0013686,1.447983,18.93122,223.1021,350.7131,183.6174,230.3407,223.5665,219.97,369.77,211.22,176.59,0.1331283,0.0887318
33,82,0.0144477,6.54,0.0006589,0.5046729,28.9783,199.8002,205.1282,165.0402,256.4102,192.3077,212.16,308.86,286.22,210.52,0.1455224,0.0916909
35,82,0.0489555,6.23,0.0017501,2.724747,28.31856,252.9197,358.0455,217.3804,263.5383,240.5594,253.29,459.69,277.4,237.43,0.1566054,0.0849427
37,82,0.0201309,9.03,0.0011636,0.4844633,20.97966,191.4752,316.7421,173.8058,234.5216,172.2853,235.83,394.74,289.02,230.76,0.0745342,0.0809873
39,82,0.0188128,6.27,0.0011277,0.4314159,19.8856,187.2659,342.4658,147.3551,228.4844,187.8005,194.53,309.73,244.54,197,0.176282,0.0723607
41,82,0.0304537,5.95,0.0017091,0.6923077,28.94018,182.3607,299.1453,210.9959,201.2522,197.0855,228.89,405.73,272.24,232.65,0.1168091,0.0754642
45,82,0.0319727,8.27,0.001144,1.792735,25.02926,218.8868,346.4366,196.4433,235.4164,241.9727,267.44,389.65,261.18,234.45,0.1947995,0.0867215
47,82,0.0305205,6.68,0.0018921,0.5479744,24.9439,252.4503,260.3292,171.1498,278.299,196.4188,300.65,352.85,208,212.51,0.0832117,0.0839351
49,82,0.0361096,10.25,0.0013467,1.048502,21.56757,238.1145,291.8791,178.8462,256.9091,254.3512,264.05,406.03,224.44,204.41,0.1255468,0.1359137
51,82,0.0628671,9.44,0.0014883,3.7793,23.15848,221.8046,301.3916,177.5444,250.6955,212.5034,329.1,353.81,286.86,245.7,0.1018474,0.1585475
53,82,0.0199702,7.43,0.0009635,0.4570313,24.72824,203.9627,153.8462,174.8252,219.7802,203.4024,101.83,277.99,262.47,191.43,0.0654206,0.0907224
55,82,0.0467392,15.09,0.0032882,0.3759591,52.22086,225.5461,288.0723,140.314,187.6173,150.1556,219.27,294.25,295.19,225.58,0.0240137,0.0830384
57,82,0.0312481,8.53,0.0013448,2.104015,18.1739,256.2956,331.9283,185.3762,245.262,212.6351,237.27,416.71,226.48,230.94,0.0731202,0.0849587
59,82,0.016081,9.93,0.0009927,0.9700375,24.36296,196.2323,259.8753,203.5123,264.4231,207.6049,239.17,347.89,269.02,235.1,0.0574412,0.0798313
61,82,0.0225081,7.72,0.0013284,0.5006105,21.36424,174.8252,280.1834,179.4236,239.3162,188.537,196.84,365.38,267.14,223.95,0.1213235,0.0844954
63,82,0.0785857,12.6,0.0024576,5.214765,29.88926,260.3464,377.2003,195.15,286.0557,294.2581,449.77,450.06,300.06,260.09,0.0602042,0.1010207
65,82,0.0524684,7.41,0.0010153,1.126482,25.1056,296.7359,383.541,179.6997,242.0656,167.9902,251.07,452.37,253.54,260.7,0.1117941,0.0883003
67,82,0.0623111,8.08,0.0019691,6.065534,30.12709,147.929,298.4085,157.4552,23.02275,172.3077,203.92,367.65,287.93,231.16,0.166392,0.0869502
69,82,0.0125657,11.59,0.0010106,0.6234818,19.21359,271.7232,468.5471,209.6384,342.8461,27.23264,409.52,449.57,281.44,277.53,0.1406728,0.0928766
71,82,0.067442,7.82,0.001957,4.661065,22.59488,219.7802,459.0927,199.2343,256.4102,234.8871,257.21,433.24,260.26,241.61,0.0485269,0.0842905
77,82,0.0380832,7.08,0.0021508,0.6591761,19.10578,172.8608,224.359,181.1702,234.7943,161.0018,255.7,431.35,276.39,220.2,0.1150294,0.0927062
79,82,0.0166299,9.59,0.0013801,0.6052632,24.6232,213.6752,274.7253,129.9376,207.9002,160.2564,173.32,340.99,279.45,237.23,0.0343348,0.0940453
81,82,0.0597609,11.61,0.0020898,4.932412,34.60993,303.3244,377.6224,251.1178,308.1447,259.4947,328.01,477.98,315.42,242.74,0.1060528,0.0912082
83,82,0.0315983,7.59,0.0015142,0.7665746,33.64067,208.7683,350.3743,167.8121,228.3337,170.5955,274.12,374.98,264.18,221.91,0.1671159,0.0864304
85,82,0.0448326,4.83,0.0013437,1.016639,20.71021,175.6103,310.6509,170.0094,221.6803,189.6424,210.47,355.58,290.73,228.55,0.1803279,0.1126167
87,82,0.0294296,8.49,0.0014422,0.8486487,24.91894,205.9126,343.6426,161.9902,229.458,196.3065,418.08,411.02,236.12,212.85,0.1264,0.0809623
89,82,0.0290652,6.89,0.0010697,1.657754,27.23189,227.3909,415.4286,178.3538,226.9726,210.2823,324.89,420.27,255.87,239.38,0.1314248,0.0715658
91,82,0.0339434,8.87,0.0014815,0.6601124,21.45942,212.2877,327.5571,153.6822,223.3251,198.2119,237.27,361.25,216.2,218.09,0.1752266,0.098717
93,82,0.031241,5.05,0.0013396,0.5498721,20.1722,153.8462,140.713,150.9141,178.0627,177.1255,221.8,375.01,293.64,222.25,0.1476274,0.0998652
97,82,0.0427797,7.4,0.0015511,1.472125,17.50915,248.2747,333.2781,192.7346,258.7413,204.5947,235.76,388,247.47,241.65,0.0721068,0.082835
99,82,0.0198469,8.64,0.0010505,0.5397149,27.10898,189.1551,328.1441,140.0917,233.1002,194.7717,166.38,397.63,301.22,226.83,0.0173077,0.1384929
101,82,0.0331686,6.53,0.0012567,0.9119497,23.4032,168.1011,266.6451,169.3997,222.6317,187.1102,243.34,372.92,253.99,231.52,0.113798,0.0813729
105,82,0.0579285,4.61,0.0017698,1.459459,30.13122,248.0788,330.5844,203.7084,236.1673,226.6525,266.22,418.34,173.02,246.75,0.1188776,0.0838366
107,82,0.0465892,9.31,0.0015857,1.495025,31.04842,228.2251,294.7356,172.1177,265.1557,213.1263,291.68,420.79,247.86,252.24,0.1085181,0.0845033
109,82,0.0174821,7.24,0.0010741,1.45302,20.60895,187.6173,306.3308,185.7355,255.4641,194.6348,233.84,395.6,291.45,231.7,0.141791,0.0841221
111,82,0.0207409,10.09,0.0008041,0.8237987,18.7781,193.8279,492.126,167.041,251.7116,186.1681,201.46,302.08,276.41,233.88,0.1,0.0749438
113,82,0.009353,5.22,0.0014946,0.4216634,22.33325,240.3846,284.9003,142.173,179.8561,237.3672,202.66,275.4,257.55,191.35,0.1686747,0.0954599
115,82,0.0036596,16.85,0.0128088,0.3769401,23.71069,157.6293,370.4287,154.0301,242.0656,157.4449,345.53,365.07,259.84,209.85,0.1428571,0.0835208
117,82,0.0175385,6.84,0.0004585,0.5683297,30.52434,178.1765,333.3333,164.8013,215.0024,182.8567,250.95,348.29,257.18,234.5,0.0902613,0.0802754
119,82,0.0890352,12.73,0.0018468,7.952652,40.45589,312.5844,433.6005,285.0981,353.2651,274.1018,365.68,499.73,276.17,253.05,0.1362118,0.0895044
123,82,0.0354991,9.17,0.0014846,0.4653061,21.81546,244.2002,341.1911,165.1009,234.2209,183.7086,209.76,288.72,253.98,232.83,0.288431,0.0867443
125,82,0.0295613,5.99,0.001747,0.7389444,25.08665,186.9218,369.3593,158.8285,258.6595,224.8849,222.18,385.64,272.35,231.26,0.0711238,0.0827119
127,82,0.050565,11.06,0.0007473,1.268519,21.8595,216.7497,329.3393,200.2992,342.6717,235.006,243.61,421.55,259.82,241.24,0.0856868,0.083393
129,82,0.0777385,7.21,0.0020313,5.816216,31.97548,260.1586,375.7737,182.0284,245.9178,224.5295,348.79,452.85,291.26,244.97,0.1019151,0.0883953
131,82,0.0202951,10.15,0.0008596,0.4126394,24.89322,151.5726,277.7778,170.6693,178.0627,147.4752,209.47,332.71,268.52,180.06,0.5917603,0.0958842
133,82,0.0405609,10.54,0.0011945,1.503277,17.09089,205.8689,277.5028,159.7858,208.39,182.7358,207.24,289.92,244.69,214.73,0.1823915,0.2690157
135,82,0.0540804,7.85,0.0017997,1.955,24.61792,210.7838,346.2604,146.3518,287.1073,226.9759,315.44,441,359.92,337.19,0.0718412,0.1426013
137,82,0.0204753,9.15,0.0006575,0.3108504,31.00211,240.3846,334.4482,124.0695,167.2241,200.3205,127.1,277.74,221.9,236.88,0.0788177,0.0785741
139,82,0.027246,8.33,0.0015828,1.25,21.1771,216.9325,323.0769,170.6912,232.5032,201.7094,201.38,380.67,251.63,202.49,0.2728873,0.1076409
141,82,0.0267457,7.22,0.0009662,0.2628571,21.99823,174.8252,271.9503,180.5571,195.0948,155.4002,178.69,301.3,269.43,215.7,0.1490566,0.0850545
143,82,0.0165128,9.14,0.0007179,0.3902439,18.12041,147.929,274.7253,162.6772,219.7802,101.2146,161.92,329.88,289.51,199.96,0.4122807,0.0792141
145,82,0.0373545,9.53,0.0013007,0.7462311,28.92236,213.6752,422.6543,162.436,228.9377,188.0695,265.55,369.99,210.97,245.87,0.0948192,0.0847475
147,82,0.0585298,8.06,0.0017198,1.415525,25.36956,211.3917,903.1454,173.8375,263.0624,234.171,271.38,465.68,351.76,239.16,0.0773133,0.1214482
149,82,0.0185088,11.34,0.0016553,0.592437,17.5038,186.7065,334.4482,145.6877,204.918,157.981,211.75,372.69,239.95,237.66,0.0982143,0.0684446
151,82,0.0248051,7.53,0.0008414,1.186312,14.76634,260.4167,321.1538,178.6001,251.9894,222.1262,226.81,390.57,216.44,225.11,0.1074655,0.0836932
153,82,0.031383,8.73,0.0012622,0.9433962,23.12621,216.8455,289.0396,160.0659,214.2704,22.64108,236.65,385.95,261.76,233.24,0.1055011,0.0833501
155,82,0.0358587,7.57,0.0013154,1.092729,37.67342,197.8474,328.5508,181.8089,254.5249,213.8166,209.28,373.04,285.98,228.33,0.0986466,0.0896919
157,82,0.031602,7.34,0.0018212,1.485062,25.46949,133.8224,345.5847,172.0153,246.9441,192.5265,302.53,395.26,548,239.25,0.100854,0.0831164
159,82,0.0292244,7.28,0.0016685,1.94605,16.38865,271.9197,357.07,217.3103,237.3347,125.8476,282.45,420.15,270.54,253.32,0.0973207,0.0844483
161,82,0.0207294,9.46,0.0013479,0.9806338,19.07024,195.2151,375.2345,168.7281,241.5766,204.4431,242.4,382.04,209.52,233.01,0.0411711,0.0787039
163,82,0.0224186,11.8,0.0012834,0.5279831,23.65361,147.4926,316.2955,174.0937,210.9705,209.2876,235.7,357.05,254.45,219.45,0.0776119,0.0813947
165,82,0.0425763,8.63,0.0017163,1.037618,40.45152,232.4599,345.7217,176.8006,261.3891,210.6039,280.06,373.35,279.05,193.6,0.0553064,0.0895843
167,82,0.0260284,9.18,0.0014505,1.229798,22.78194,249.8735,345.5529,175.0327,241.6701,215.9605,245.74,392.21,259.54,230.69,0.0748752,0.0840005
169,82,0.0165503,13.62,0.0007657,0.7588496,25.43988,242.2011,449.8941,163.9833,213.6752,1.843794,232.45,323.86,256.67,212.93,0.1001965,0.0836034
171,82,0.0209131,6.77,0.0013909,1.109462,20.21522,280.4823,308.9656,182.9039,252.6395,212.348,215.48,381.38,233.23,235.97,0.0658882,0.0825625
