"perimeter","compactness","lengthOfKernel","widthOfKernel","asymmetryCoefficient","seedType"
13.1,0.8455,5.167,2.845,6.715,1
12.97,0.8419,5.088,2.763,4.309,1
13.08,0.8375,5.136,2.763,5.588,1
12.96,0.8099,5.278,2.641,5.182,1
12.57,0.859,4.981,2.821,4.773,1
13.01,0.8355,5.186,2.71,5.335,1
12.73,0.8329,5.145,2.642,4.702,1
13.05,0.8473,5.18,2.758,5.876,1
13.47,0.8453,5.357,2.893,1.661,1
12.95,0.856,5.09,2.775,4.957,1
13.41,0.8706,5.236,3.017,4.987,1
13.36,0.8579,5.24,2.909,4.857,1
13.07,0.8575,5.108,2.85,5.209,1
13.77,0.8541,5.495,3.026,6.185,1
13.31,0.8198,5.363,2.683,4.062,1
13.45,0.8198,5.413,2.716,4.898,1
12.8,0.8372,5.088,2.675,4.179,1
12.82,0.8594,5.089,2.821,7.524,1
12.41,0.8648,4.899,2.787,4.975,1
12.8,0.839,5.046,2.717,5.398,1
12.86,0.8563,5.091,2.804,3.985,1
13.02,0.8795,5.132,2.953,3.597,1
12.83,0.8256,5.18,2.63,4.853,1
13.27,0.8639,5.236,2.975,4.132,1
13.47,0.886,5.16,3.126,4.873,1
13.53,0.8786,5.224,3.054,5.483,1
13.78,0.8849,5.32,3.128,4.67,1
13.67,0.8481,5.41,2.911,3.306,1
13.38,0.8964,5.073,3.155,2.828,1
13.44,0.8609,5.219,2.989,5.472,1
13.32,0.8977,4.984,3.135,2.3,1
12.72,0.868,5.009,2.81,4.051,1
13.41,0.8874,5.183,3.091,8.456,1
13.47,0.8567,5.204,2.96,3.919,1
13.2,0.8783,5.137,2.981,3.631,1
12.88,0.8511,5.14,2.795,4.325,1
13.66,0.8883,5.236,3.232,8.315,1
13.21,0.8521,5.175,2.836,3.598,1
13.34,0.8684,5.243,2.974,5.637,1
