DecisionM,DecisionF,LikeM,LikeF,PartnerYesM,PartnerYesF,AgeM,AgeF,AttractiveM,AttractiveF,SincereM,SincereF,IntelligentM,IntelligentF,FunM,FunF,AmbitiousM,AmbitiousF,SharedInterestsM,SharedInterestsF
1,1,8,7,7,7,23,23,7,7,9,10,8,10,8,6,7,8,6,7
1,1,7,7,3,8,27,28,7,7,8,9,8,8,4,8,5,6,8,6
0,0,7,7,7,7,26,22,6,8,8,8,6,8,6,7,6,7,5,6
0,0,7,6,5,6,30,29,6,6,9,8,6,7,6,4,6,8,4,5
1,0,8,6,6,6,24,25,7,7,7,8,8,7,8,5,8,5,7,5
1,0,8,3,6,5,28,25,5,3,8,5,9,7,8,4,7,8,6,2
0,0,4,2,6,6,24,29,3,3,8,3,5,4,4,3,2,8,7,2
0,1,8,6,8,8,28,28,6,8,10,8,9,8,8,5,8,5,9,5
1,0,7,6,7,8,27,22,7,7,9,6,9,7,9,5,7,7,6,3
0,0,4,6,5,5,21,30,6,8,9,7,8,7,9,5,8,5,8,7
0,1,7,10,7,10,24,23,9,10,9,10,9,10,10,10,8,10,5,10
1,0,5,8,3,10,25,23,8,7,1,10,5,8,5,10,5,8,0,7
0,1,6,9,7,9,27,28,7,8,9,10,6,9,5,9,3,10,5,9
1,0,8,7,5,8,28,27,8,7,10,5,9,5,8,3,5,3,3,5
0,0,4,5,3,1,26,29,4,7,5,7,6,9,5,3,5,9,4,0
1,0,7,5,1,2,23,22,10,5,7,6,8,9,7,8,8,8,5,5
1,0,7,5,6,1,25,29,8,5,7,9,7,10,7,5,5,9,5,5
1,0,8,5,7,5,29,27,8,7,9,7,7,8,8,8,6,8,7,3
1,0,4,5,4,1,27,29,5,3,5,10,5,10,4,3,5,10,4,0
0,1,9,9,10,7,33,27,5,9,10,9,8,9,8,9,7,9,7,9
0,0,5,5,6,5,27,24,5,5,5,7,7,7,6,6,6,7,7,7
1,0,6,5,3,5,23,29,5,6,6,8,6,8,5,7,7,9,5,3
1,0,7,6,6,7,23,27,5,6,8,8,7,7,7,3,8,3,5,6
0,0,6,6,4,4,30,25,6,6,6,7,7,7,6,6,6,8,6,5
0,0,8,3,8,6,28,27,9,3,10,6,10,7,10,5,8,4,5,1
1,0,8,7,6,5,24,30,7,4,6,10,7,9,7,5,7,7,5,5
1,1,8,7,5,7,29,29,8,5,8,5,8,5,8,8,8,5,8,5
1,1,7,7,8,7,28,30,6,7,8,7,9,7,7,7,8,7,6,6
1,0,7,6,6,7,29,25,8,3,7,8,7,8,6,4,6,8,8,8
0,0,10,5,2,5,30,24,10,7,10,6,10,8,10,5,10,7,1,1
0,1,6,10,6,8,30,34,8,10,8,9,9,10,6,10,9,10,5,9
1,0,9,8,10,9,26,24,9,6,8,9,8,8,8,8,8,10,8,6
1,0,7,6,6,5,25,26,6,5,8,8,5,8,6,7,5,7,7,6
1,0,8,6,8,5,23,23,8,6,10,7,10,8,8,7,7,9,7,6
0,0,7,5,3,5,27,26,5,5,8,5,9,4,6,2,8,8,6,1
0,0,2,3,5,3,24,25,6,5,6,8,7,10,4,3,4,8,6,3
1,1,8,6,5,7,24,25,7,8,9,7,9,8,7,8,9,7,7,6
0,1,5,9,1,1,25,26,5,4,10,3,10,9,10,4,10,9,5,5
1,1,8,7,7,7,24,23,8,5,9,5,8,8,8,7,9,6,7,6
1,1,10,8,10,10,23,27,9,10,7,10,9,10,8,9,8,5,6,6
0,0,6,3,1,3,22,24,5,5,7,5,7,8,7,6,4,8,2,3
1,1,6,8,6,6,32,26,7,8,7,9,6,9,6,10,6,10,6,8
1,1,8,8,10,9,22,22,9,6,6,4,10,8,9,10,8,7,8,8
0,1,6,6,6,5,24,25,7,4,7,9,7,4,8,7,5,8,5,4
1,0,6,5,5,7,23,30,6,4,7,9,6,8,8,6,5,7,4,2
1,0,8,5,8,5,23,23,7,7,10,9,6,9,7,7,6,10,0,2
1,1,7,7,8,5,23,27,5,5,8,6,7,5,7,5,6,5,6,6
1,0,9,3,8,1,24,29,7,1,9,5,8,5,10,4,6,5,5,3
0,0,7,6,3,5,30,28,2,7,10,7,8,7,10,5,2,5,4,5
0,0,6,6,3,8,30,26,6,6,7,8,7,8,7,6,4,8,6,5
1,0,7,4,5,3,27,28,5,5,7,5,8,6,7,3,8,5,7,3
