"popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","valence","music_genre"
34,0.000428,0.549,0.997,0.915,0.686,-2.215,0.114,0.356,"Electronic"
40,0.982,0.591,0.198,0.869,0.0795,-20.874,0.0313,0.484,"Classical"
74,0.275,0.504,0.821,0,0.0418,-3.356,0.0598,0.458,"Rock"
47,0.146,0.453,0.57,0.00292,0.0962,-7.08,0.0489,0.0773,"Alternative"
38,0.0335,0.616,0.966,0,0.363,-6.542,0.321,0.499,"Anime"
32,0.019,0.8,0.803,4.5e-06,0.199,-4.085,0.156,0.488,"Electronic"
41,0.735,0.472,0.528,0.384,0.0994,-13.356,0.0409,0.214,"Electronic"
0,0.96,0.261,0.105,0.872,0.169,-21.878,0.0364,0.151,"Classical"
50,0.00187,0.59,0.823,0,0.375,-4.606,0.0394,0.571,"Alternative"
52,0.133,0.867,0.618,1.8e-06,0.128,-4.956,0.0614,0.857,"Hip-Hop"
24,0.986,0.389,0.164,0.93,0.127,-21.454,0.0363,0.394,"Anime"
60,0.473,0.499,0.61,0,0.0722,-5.11,0.135,0.436,"Hip-Hop"
64,0.00165,0.519,0.78,2.14e-05,0.156,-4.939,0.0356,0.166,"Rock"
38,0.975,0.229,0.0723,0.000176,0.087,-17.46,0.0402,0.0738,"Jazz"
48,0.00873,0.737,0.625,0,0.628,-8.067,0.0297,0.504,"Country"
54,0.741,0.695,0.452,0,0.164,-8.143,0.0424,0.424,"Alternative"
32,0.984,0.31,0.207,0.923,0.0924,-22.729,0.0336,0.282,"Classical"
28,0.928,0.188,0.193,0.916,0.0924,-23.183,0.0486,0.0316,"Anime"
54,0.861,0.278,0.141,0.002,0.382,-13.719,0.031,0.176,"Jazz"
66,0.0859,0.733,0.578,1.19e-06,0.403,-5.245,0.0417,0.447,"Rap"
48,0.0206,0.966,0.706,0,0.0684,-6.179,0.219,0.537,"Hip-Hop"
57,0.159,0.8,0.467,0,0.653,-9.974,0.45,0.307,"Rap"
56,0.452,0.705,0.848,0,0.227,-6.056,0.0415,0.691,"Electronic"
64,0.0174,0.75,0.906,0,0.0551,-5.028,0.0477,0.562,"Hip-Hop"
53,0.0136,0.356,0.91,0.00601,0.333,-4.85,0.141,0.063,"Alternative"
45,8.52e-05,0.513,0.978,0.00108,0.174,-2.811,0.0744,0.545,"Alternative"
62,0.274,0.699,0.747,0,0.486,-3.453,0.0964,0.683,"Hip-Hop"
54,0.00727,0.613,0.762,0,0.188,-4.679,0.0359,0.743,"Jazz"
38,0.889,0.34,0.386,0.905,0.252,-16.785,0.0378,0.234,"Anime"
33,0.974,0.183,0.0678,0.896,0.246,-23.635,0.0444,0.0386,"Classical"
51,0.0351,0.518,0.87,0.00707,0.255,-4.933,0.098,0.661,"Alternative"
26,0.00456,0.531,0.742,0.232,0.0772,-8.983,0.0738,0.102,"Electronic"
64,0.219,0.711,0.678,0,0.176,-6.398,0.0476,0.615,"Rap"
41,0.0458,0.704,0.928,0,0.345,-3.422,0.0443,0.961,"Alternative"
46,0.864,0.396,0.32,0,0.599,-13.211,0.0413,0.713,"Jazz"
15,0.000272,0.529,0.84,0,0.331,-4.144,0.0317,0.484,"Anime"
12,0.947,0.256,0.382,0.000123,0.144,-8.831,0.0356,0.112,"Anime"
47,0.0619,0.368,0.619,0.0476,0.145,-6.633,0.0308,0.0878,"Alternative"
53,0.000128,0.378,0.975,0.0018,0.204,-6.447,0.055,0.457,"Alternative"
42,0.875,0.644,0.353,0,0.14,-10.562,0.0357,0.645,"Country"
39,0.121,0.521,0.686,0.474,0.577,-5.532,0.046,0.381,"Alternative"
35,0.0211,0.717,0.856,0.278,0.0756,-8.993,0.0629,0.767,"Blues"
9,0.955,0.261,0.0384,0.647,0.128,-28.173,0.0449,0.0445,"Classical"
57,0.571,0.451,0.573,0.00744,0.172,-8.277,0.0303,0.087,"Rap"
61,0.131,0.245,0.64,8.11e-06,0.0766,-7.426,0.0608,0.105,"Alternative"
63,0.00369,0.64,0.922,0.055,0.332,-6.283,0.0385,0.716,"Alternative"
36,0.00709,0.548,0.902,0.648,0.286,-6.275,0.0329,0.549,"Classical"
42,0.0938,0.434,0.78,0.205,0.159,-11.097,0.0346,0.929,"Blues"
48,0.0224,0.532,0.596,0,0.134,-6.512,0.0282,0.418,"Country"
36,0.0077,0.293,0.726,0.108,0.106,-7.038,0.0373,0.28,"Electronic"
56,0.000349,0.684,0.906,0.55,0.103,-6.661,0.0775,0.555,"Rock"
62,0.354,0.715,0.775,0,0.144,-6.613,0.0433,0.803,"Rock"
46,0.976,0.232,0.142,0.384,0.463,-23.275,0.0573,0.0786,"Classical"
10,0.8,0.556,0.124,0.00191,0.105,-18.068,0.0372,0.0386,"Anime"
36,0.568,0.608,0.751,0,0.116,-7.297,0.0341,0.607,"Country"
62,0.712,0.547,0.679,0,0.154,-6.374,0.383,0.558,"Hip-Hop"
22,0.969,0.103,0.00216,0.00363,0.0706,-37.562,0.0453,0.0288,"Classical"
69,0.0679,0.901,0.529,0,0.536,-7.94,0.413,0.343,"Rap"
64,9.25e-05,0.503,0.96,0.578,0.274,-2.672,0.0626,0.489,"Rock"
59,0.57,0.653,0.525,0,0.141,-7.446,0.0414,0.633,"Country"
75,0.432,0.778,0.578,0,0.138,-7.22,0.274,0.758,"Hip-Hop"
58,0.35,0.83,0.774,0,0.175,-5.158,0.0902,0.61,"Hip-Hop"
59,0.151,0.823,0.564,0,0.122,-6.617,0.116,0.348,"Hip-Hop"
68,0.207,0.9,0.831,2.53e-06,0.0963,-5.392,0.198,0.661,"Hip-Hop"
56,0.345,0.593,0.294,2.03e-05,0.287,-10.072,0.0499,0.152,"Alternative"
32,0.995,0.233,0.0421,0.906,0.138,-32.325,0.0431,0.259,"Classical"
37,0.838,0.373,0.518,8.52e-06,0.106,-8.622,0.0406,0.419,"Jazz"
67,0.00214,0.891,0.525,0,0.0887,-7.666,0.214,0.15,"Rap"
37,0.912,0.118,0.251,0.0675,0.113,-15.9,0.034,0.111,"Classical"
55,0.0204,0.816,0.732,2.58e-05,0.172,-6.288,0.0457,0.306,"Hip-Hop"
58,0.0566,0.694,0.504,0,0.178,-6.881,0.131,0.605,"Hip-Hop"
48,0.996,0.451,0.0287,0.927,0.0779,-33.021,0.052,0.221,"Classical"
50,0.0258,0.874,0.66,0.000128,0.187,-6.699,0.0545,0.845,"Jazz"
63,0.141,0.761,0.683,0,0.342,-10.889,0.164,0.671,"Jazz"
34,8.52e-05,0.632,0.981,0.367,0.885,-4.291,0.148,0.606,"Electronic"
16,0.279,0.661,0.571,0.0509,0.459,-8.987,0.033,0.499,"Anime"
32,0.989,0.112,0.0863,0.935,0.117,-22.493,0.0418,0.157,"Classical"
34,0.985,0.36,0.0813,0.872,0.107,-25.994,0.0448,0.27,"Classical"
45,0.00952,0.655,0.466,0,0.0751,-8.758,0.0511,0.638,"Alternative"
29,0.995,0.0786,0.0609,0.0104,0.106,-24.484,0.0436,0.0392,"Classical"
50,0.584,0.769,0.534,0,0.138,-6.502,0.0478,0.123,"Hip-Hop"
36,0.344,0.574,0.254,0,0.39,-13.253,0.0279,0.382,"Country"
32,0.0455,0.473,0.951,0.0258,0.58,-5.105,0.134,0.546,"Electronic"
36,0.911,0.375,0.185,0.103,0.0741,-15.758,0.0427,0.137,"Classical"
25,0.000315,0.415,0.817,0.136,0.11,-11.947,0.0404,0.938,"Blues"
67,0.049,0.707,0.712,0,0.136,-6.506,0.0655,0.248,"Rap"
14,0.0166,0.654,0.941,8.66e-06,0.12,-3.195,0.0733,0.684,"Anime"
45,0.948,0.57,0.241,0.0224,0.111,-12.138,0.0473,0.543,"Blues"
29,0.314,0.632,0.764,0.0388,0.133,-10.139,0.0515,0.935,"Blues"
38,0.496,0.609,0.424,0,0.101,-7.762,0.0268,0.312,"Country"
37,0.493,0.451,0.653,0.000253,0.573,-14.27,0.0433,0.54,"Blues"
40,0.007,0.442,0.78,0,0.167,-5.576,0.0479,0.666,"Blues"
58,0.153,0.829,0.457,1.23e-05,0.0772,-10.91,0.0729,0.257,"Hip-Hop"
22,0.00034,0.404,0.942,0,0.188,-4.035,0.0745,0.661,"Anime"
41,0.0451,0.815,0.665,0.105,0.0635,-7.51,0.0695,0.387,"Electronic"
55,0.0202,0.731,0.839,0,0.136,-6.185,0.0461,0.716,"Rock"
28,0.707,0.619,0.455,2.93e-05,0.268,-9.183,0.0525,0.749,"Blues"
63,0.274,0.727,0.68,0,0.31,-11.297,0.0445,0.683,"Rock"
0,0.984,0.19,0.131,0.641,0.11,-20.114,0.0486,0.0712,"Classical"
46,0.759,0.418,0.322,0,0.109,-8.189,0.0437,0.335,"Country"
64,0.000637,0.499,0.81,0.0748,0.0625,-5.579,0.0347,0.288,"Rock"
37,0.995,0.467,0.00291,0.947,0.0745,-39.99,0.331,0.205,"Classical"
26,0.995,0.325,0.00536,0.917,0.0721,-30.453,0.0419,0.063,"Classical"
46,6.35e-06,0.282,0.97,0.358,0.385,-4.086,0.18,0.0391,"Alternative"
45,0.00592,0.701,0.659,0.218,0.12,-5.364,0.102,0.42,"Electronic"
39,0.0128,0.308,0.548,0.135,0.112,-8.041,0.045,0.0764,"Classical"
47,0.00894,0.758,0.521,0.113,0.301,-7.138,0.0408,0.0874,"Rap"
60,0.0629,0.385,0.808,0,0.33,-6.67,0.045,0.546,"Country"
41,0.0764,0.568,0.81,0,0.161,-4.17,0.0334,0.489,"Anime"
29,0.00415,0.523,0.99,0.781,0.257,-2.923,0.139,0.372,"Electronic"
38,0.02,0.476,0.906,7.25e-06,0.138,-7.026,0.0615,0.575,"Alternative"
54,0.281,0.674,0.496,0.929,0.11,-14.709,0.0357,0.398,"Electronic"
60,0.129,0.71,0.632,2.92e-06,0.212,-7.051,0.0822,0.218,"Rap"
56,0.0103,0.878,0.741,0.000148,0.104,-3.908,0.219,0.627,"Hip-Hop"
42,0.107,0.809,0.931,0.000497,0.261,-5.606,0.0458,0.828,"Jazz"
78,0.0571,0.824,0.595,3.7e-06,0.0876,-6.346,0.091,0.157,"Rap"
59,0.645,0.782,0.561,0,0.112,-6.031,0.0493,0.663,"Hip-Hop"
73,0.425,0.368,0.592,0,0.0849,-4.317,0.0385,0.451,"Rock"
44,0.00124,0.564,0.656,3.57e-06,0.107,-6.014,0.0306,0.547,"Country"
62,0.134,0.286,0.5,4.57e-05,0.108,-14.281,0.0357,0.443,"Rock"
63,0.000841,0.65,0.903,0.000351,0.122,-3.677,0.0314,0.409,"Rock"
37,0.00177,0.68,0.695,3.83e-06,0.0824,-6.807,0.0254,0.849,"Country"
34,0.548,0.537,0.435,0.027,0.107,-10.762,0.0868,0.227,"Blues"
57,0.152,0.757,0.772,0,0.559,-5.081,0.0577,0.218,"Rap"
40,0.965,0.594,0.173,0.004,0.117,-15.143,0.0381,0.219,"Jazz"
56,0.496,0.675,0.397,5.66e-06,0.333,-7.675,0.0413,0.322,"Alternative"
43,0.00633,0.431,0.89,0.0054,0.316,-1.763,0.0336,0.754,"Blues"
60,0.525,0.722,0.519,0.000494,0.105,-10.018,0.229,0.655,"Hip-Hop"
47,0.0194,0.783,0.781,0.128,0.0299,-5.39,0.0481,0.862,"Electronic"
41,0.575,0.646,0.311,0,0.105,-10.662,0.0316,0.285,"Country"
54,0.351,0.271,0.486,0.156,0.0894,-11.956,0.0407,0.31,"Alternative"
54,0.000128,0.619,0.916,0.183,0.121,-4.214,0.0459,0.743,"Alternative"
58,0.423,0.469,0.717,0.00147,0.128,-4.972,0.187,0.272,"Hip-Hop"
49,0.0943,0.514,0.884,1.52e-06,0.0654,-3.765,0.151,0.898,"Alternative"
38,0.221,0.551,0.772,0.0152,0.124,-8.278,0.0865,0.222,"Electronic"
26,0.00979,0.632,0.966,0.000699,0.254,-3.101,0.0892,0.624,"Anime"
43,0.991,0.203,0.0174,0.908,0.113,-26.688,0.0412,0.0348,"Classical"
24,0.953,0.302,0.244,0.898,0.156,-13.52,0.0357,0.105,"Anime"
63,0.00503,0.832,0.291,0,0.0796,-9.272,0.31,0.289,"Rap"
38,0.262,0.721,0.535,0,0.0957,-6.722,0.034,0.651,"Country"
53,0.238,0.478,0.727,0,0.157,-5.375,0.0494,0.372,"Country"
36,0.0062,0.605,0.992,0.909,0.454,-5.074,0.0606,0.555,"Electronic"
59,0.131,0.681,0.719,1.65e-06,0.113,-5.918,0.0248,0.637,"Country"
37,0.122,0.767,0.63,0.031,0.0956,-6.976,0.334,0.225,"Electronic"
50,0.0728,0.691,0.913,0,0.464,-5.946,0.0381,0.831,"Rock"
36,0.292,0.18,0.463,0.818,0.846,-14.566,0.0399,0.357,"Blues"
53,0.000116,0.564,0.968,3.97e-05,0.226,-3.75,0.0631,0.352,"Rap"
42,0.0851,0.409,0.454,0.000128,0.95,-5.009,0.0326,0.12,"Country"
64,0.853,0.313,0.426,0.00037,0.181,-9.049,0.0435,0.107,"Hip-Hop"
67,0.229,0.883,0.897,0.0011,0.11,-1.02,0.108,0.258,"Hip-Hop"
21,0.197,0.657,0.944,0,0.328,-4.826,0.0446,0.641,"Anime"
28,0.964,0.193,0.0436,0.887,0.113,-27.161,0.0595,0.364,"Classical"
63,0.000855,0.7,0.721,0.00112,0.257,-7.296,0.0447,0.0378,"Rap"
0,0.992,0.47,0.00402,0.886,0.096,-34.058,0.059,0.268,"Classical"
69,0.0353,0.652,0.719,0,0.108,-7.251,0.033,0.24,"Rock"
50,0.0695,0.589,0.59,3.28e-06,0.114,-8.709,0.132,0.589,"Hip-Hop"
32,0.194,0.593,0.608,1.66e-06,0.219,-8.378,0.0344,0.525,"Blues"
34,0.994,0.168,0.0883,0.9,0.0791,-21.329,0.0515,0.174,"Classical"
19,0.507,0.619,0.904,0.728,0.18,-7.489,0.0363,0.96,"Blues"
57,0.00837,0.559,0.89,0.00759,0.103,-5.188,0.0387,0.809,"Rock"
35,0.21,0.463,0.403,0.311,0.208,-11.551,0.084,0.599,"Blues"
36,0.914,0.213,0.233,0,0.265,-10.745,0.0286,0.351,"Jazz"
54,0.0408,0.67,0.832,1.24e-05,0.0651,-5.795,0.0495,0.605,"Rock"
43,0.773,0.634,0.403,0.711,0.412,-9.822,0.0289,0.614,"Jazz"
47,0.396,0.507,0.674,0,0.129,-4.9,0.39,0.297,"Hip-Hop"
24,0.0881,0.579,0.805,0.43,0.199,-5.992,0.116,0.486,"Electronic"
48,0.0143,0.356,0.942,0.000537,0.25,-0.475,0.111,0.834,"Blues"
28,0.963,0.122,0.0458,0.876,0.105,-23.494,0.0381,0.0361,"Classical"
36,0.00412,0.762,0.738,0.0235,0.0895,-6.562,0.202,0.743,"Electronic"
52,0.167,0.784,0.608,0,0.0871,-5.885,0.245,0.382,"Hip-Hop"
41,0.953,0.403,0.108,2.4e-06,0.103,-17.528,0.0419,0.207,"Jazz"
52,0.0684,0.412,0.879,0,0.143,-4.219,0.0563,0.357,"Rock"
53,0.0754,0.739,0.52,0,0.382,-6.301,0.0679,0.247,"Rap"
42,0.0661,0.613,0.636,0.902,0.0983,-9.637,0.0395,0.483,"Electronic"
58,0.0292,0.492,0.779,0,0.129,-5.022,0.0498,0.445,"Rock"
42,0.00328,0.566,0.957,1.79e-06,0.583,-3.139,0.051,0.578,"Anime"
31,0.105,0.603,0.757,0.884,0.589,-7.64,0.0264,0.606,"Electronic"
26,0.135,0.486,0.504,0.88,0.084,-13.294,0.0642,0.509,"Jazz"
47,0.0706,0.841,0.629,0,0.0894,-6.47,0.3,0.447,"Hip-Hop"
38,0.000794,0.749,0.659,0.668,0.688,-8.881,0.0527,0.321,"Jazz"
56,0.172,0.532,0.459,6.61e-05,0.0472,-10.329,0.0307,0.597,"Rock"
14,9.5e-05,0.4,0.991,0.942,0.337,-5.886,0.062,0.531,"Anime"
34,0.0346,0.257,0.997,0.85,0.234,-5.079,0.0554,0.746,"Blues"
42,0.0957,0.341,0.827,0.00161,0.0746,-2.836,0.0466,0.422,"Anime"
24,0.903,0.299,0.0602,0.894,0.15,-24.226,0.038,0.0761,"Classical"
29,0.98,0.313,0.117,0.917,0.0445,-21.584,0.0372,0.0549,"Classical"
62,0.0737,0.574,0.664,0,0.22,-11.5,0.0346,0.936,"Blues"
65,0.221,0.645,0.833,0,0.134,-3.715,0.32,0.721,"Rap"
22,0.000996,0.531,0.959,0,0.362,-4.232,0.0624,0.581,"Anime"
78,0.165,0.943,0.677,0,0.327,-6.033,0.246,0.615,"Hip-Hop"
52,0.0143,0.631,0.84,0,0.0712,-6.025,0.0285,0.653,"Electronic"
43,0.195,0.478,0.79,2.2e-05,0.326,-5.016,0.133,0.538,"Blues"
40,0.0633,0.51,0.575,0.982,0.0523,-13.039,0.036,0.653,"Jazz"
67,0.129,0.69,0.834,0,0.136,-5.79,0.0566,0.738,"Hip-Hop"
43,0.101,0.633,0.604,0.00217,0.189,-6.006,0.0848,0.0762,"Electronic"
42,0.373,0.628,0.751,6.52e-06,0.0696,-4.562,0.032,0.908,"Country"
48,0.128,0.69,0.676,0,0.229,-6.963,0.165,0.275,"Hip-Hop"
81,0.00661,0.87,0.35,0.000483,0.108,-6.082,0.277,0.175,"Rap"
15,0.918,0.266,0.0697,0.1,0.12,-25.182,0.0371,0.172,"Classical"
26,0.99,0.263,0.0359,0.907,0.106,-26.775,0.0353,0.143,"Classical"
12,0.21,0.185,0.481,0.00284,0.156,-18.343,0.0443,0.0869,"Anime"
25,0.844,0.596,0.532,0.00811,0.118,-10.372,0.0264,0.42,"Blues"
54,0.35,0.6,0.871,0,0.0584,-4.527,0.0492,0.511,"Alternative"
60,0.0475,0.767,0.614,5.72e-05,0.116,-7.373,0.0344,0.43,"Alternative"
58,0.147,0.852,0.572,2.62e-06,0.186,-5.086,0.149,0.569,"Hip-Hop"
28,0.995,0.451,0.0852,0.911,0.0839,-20.08,0.042,0.157,"Classical"
24,7.8e-05,0.452,0.963,0.587,0.219,-1.946,0.0578,0.299,"Electronic"
22,0.000371,0.578,0.956,0,0.114,-3.104,0.0664,0.768,"Anime"
42,0.239,0.669,0.736,0.000169,0.598,-3.223,0.0602,0.494,"Electronic"
71,0.242,0.941,0.501,0,0.114,-8.337,0.32,0.412,"Hip-Hop"
50,0.293,0.497,0.414,0.879,0.108,-14.626,0.133,0.511,"Electronic"
38,0.0998,0.405,0.415,0,0.0775,-8.747,0.0277,0.229,"Country"
66,0.164,0.749,0.755,1.22e-05,0.176,-5.875,0.141,0.323,"Hip-Hop"
11,0.94,0.332,0.15,0.925,0.11,-16.469,0.0433,0.0839,"Anime"
37,0.972,0.263,0.19,0.872,0.101,-18.263,0.0332,0.185,"Classical"
54,0.00166,0.54,0.635,0.788,0.209,-10.071,0.0519,0.126,"Electronic"
34,0.0524,0.651,0.783,0.797,0.415,-4.453,0.0249,0.244,"Jazz"
41,3.43e-05,0.301,0.927,0,0.211,-3.79,0.0506,0.594,"Anime"
46,0.0589,0.786,0.84,2.3e-06,0.0744,-3.473,0.109,0.924,"Electronic"
11,0.0164,0.473,0.509,0.000401,0.102,-5.147,0.0268,0.4,"Anime"
45,0.0551,0.67,0.702,0.103,0.341,-2.143,0.0941,0.122,"Electronic"
58,0.0616,0.576,0.673,0.00601,0.114,-11.383,0.0307,0.57,"Electronic"
40,0.258,0.735,0.698,0,0.0872,-7.959,0.0273,0.965,"Country"
42,0.558,0.835,0.58,0.000752,0.115,-8.892,0.189,0.841,"Electronic"
37,0.113,0.572,0.665,6.56e-06,0.0764,-6.171,0.0249,0.64,"Country"
9,0.99,0.343,0.0486,0.924,0.201,-21.854,0.0409,0.0633,"Anime"
51,0.168,0.532,0.468,0,0.125,-7.624,0.0431,0.247,"Rock"
46,0.442,0.838,0.609,1.99e-06,0.0742,-5.865,0.0446,0.609,"Alternative"
17,0.46,0.423,0.657,2.28e-06,0.111,-3.494,0.0373,0.358,"Anime"
28,0.322,0.59,0.468,0.00233,0.0942,-7.258,0.0295,0.376,"Blues"
32,0.16,0.792,0.679,0.000238,0.111,-7.271,0.0587,0.557,"Electronic"
39,0.47,0.596,0.488,2.02e-05,0.09,-10.064,0.0317,0.821,"Country"
49,0.399,0.804,0.555,0,0.102,-6.038,0.276,0.516,"Hip-Hop"
56,0.0678,0.69,0.76,0,0.184,-4.778,0.0587,0.468,"Rap"
77,0.323,0.606,0.652,0,0.201,-6.982,0.0281,0.476,"Rock"
54,0.136,0.729,0.842,0,0.37,-5.566,0.25,0.789,"Alternative"
58,0.164,0.649,0.595,0,0.112,-6.214,0.0325,0.686,"Country"
73,0.219,0.63,0.449,0,0.0622,-13.243,0.0252,0.623,"Rock"
30,0.471,0.356,0.955,0.368,0.205,-1.811,0.0769,0.169,"Blues"
65,0.163,0.728,0.656,1.17e-06,0.117,-5.111,0.0482,0.168,"Rock"
21,0.305,0.532,0.427,0,0.275,-8.842,0.13,0.663,"Blues"
60,0.0046,0.688,0.834,4e-05,0.349,-3.903,0.0901,0.374,"Rap"
51,0.0427,0.556,0.504,0.000356,0.0582,-11.513,0.0293,0.616,"Alternative"
48,0.0233,0.681,0.91,0.000574,0.136,-5.22,0.0358,0.918,"Country"
63,0.015,0.694,0.795,0,0.114,-4.649,0.0924,0.556,"Rock"
55,0.00144,0.667,0.998,0.423,0.301,-5.892,0.065,0.32,"Electronic"
39,0.00315,0.567,0.924,0,0.383,-2.934,0.0372,0.851,"Anime"
53,0.728,0.591,0.246,1.01e-06,0.0753,-12.141,0.039,0.56,"Jazz"
52,1.81e-05,0.527,0.764,2.68e-05,0.144,-6.257,0.0419,0.662,"Rap"
32,0.128,0.537,0.5,0.00401,0.114,-6.798,0.0346,0.476,"Blues"
52,0.171,0.444,0.943,6.59e-06,0.297,-3.724,0.104,0.411,"Alternative"
40,0.492,0.646,0.546,0.316,0.227,-14.012,0.0321,0.796,"Blues"
40,0.113,0.408,0.731,0.0034,0.138,-7.171,0.0359,0.326,"Country"
58,0.43,0.495,0.533,0.000672,0.106,-5.802,0.0295,0.424,"Hip-Hop"
58,0.0667,0.693,0.527,0.00143,0.663,-10.856,0.0365,0.911,"Alternative"
