annual_income,debt_to_income,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,loan_amount,interest_rate,homeownership
80000,18.24,2008,1,17,7,234073,50495,10000,16.02,MORTGAGE
80000,16.6,1998,1,23,14,232567,44543,20000,18.45,MORTGAGE
40000,73.75,2004,2,18,12,117274,60745,20000,9.44,MORTGAGE
70000,21.72,2002,0,19,9,285190,59263,25000,9.44,MORTGAGE
53000,49.32,1996,1,29,15,319536,154365,16000,9.43,MORTGAGE
85000,17.83,1993,3,26,8,388885,110146,19000,7.35,MORTGAGE
53000,21.17,2001,0,18,9,218015,31368,30000,9.44,MORTGAGE
152000,4.36,2004,1,13,6,560826,17408,40000,7.34,MORTGAGE
37000,24.98,1994,3,26,16,41975,15690,10000,16.02,MORTGAGE
70900,42.5,1984,3,30,12,105928,73196,35000,26.3,MORTGAGE
88000,8.77,2005,4,18,6,243109,40300,18000,7.97,MORTGAGE
30000,8.56,1989,0,8,3,22300,10709,10000,13.59,MORTGAGE
32000,41.07,2009,10,27,14,121897,97928,16000,26.3,MORTGAGE
32000,36.38,2005,5,20,12,187795,52349,3500,11.99,MORTGAGE
167000,32.25,2001,0,58,35,521576,138629,40000,13.59,MORTGAGE
60000,18.04,1986,0,57,25,319089,64907,28000,9.44,MORTGAGE
75250,25.36,1999,1,23,18,137025,74780,16000,10.91,MORTGAGE
75000,29.65,2004,4,36,20,271720,93731,4000,10.41,MORTGAGE
83000,25.22,2004,1,24,8,155190,54048,14000,21.45,MORTGAGE
94000,10.76,2002,4,26,11,128200,8642,10000,16.02,MORTGAGE
75000,29.46,2003,0,27,20,112051,67495,18000,15.05,MORTGAGE
53701,36.53,1993,0,23,19,122772,35521,12950,17.47,MORTGAGE
64000,11.23,1989,3,37,16,409220,23637,3700,6.07,MORTGAGE
1.00E+05,31.48,1997,1,21,16,392251,96255,35000,24.85,MORTGAGE
80000,24.17,1987,2,28,12,112700,70187,25000,30.79,OWN
105000,14.96,2000,4,37,19,231470,28858,35000,18.06,OWN
70000,48.24,1982,1,42,21,322311,133138,25000,13.59,OWN
250000,3.67,2003,2,22,14,397115,27239,10000,6.07,OWN
220000,9.19,1992,0,23,6,355259,94517,3500,5.31,OWN
88000,11.71,1998,0,6,3,55600,25836,21000,5.31,OWN
25200,6.86,2005,1,17,9,15800,2951,3000,11.98,OWN
25500,33.6,2003,0,14,8,29785,26923,5000,10.9,OWN
37540,26.28,2015,2,6,6,43974,35883,10000,12.61,OWN
35000,25.89,1986,2,35,9,47349,21404,11000,7.35,OWN
60000,19.34,2003,2,44,11,317287,121442,15000,6.72,OWN
49000,36.71,2006,0,37,8,66761,52434,13100,18.06,OWN
45000,13.71,2014,3,8,7,35854,10630,28000,20,OWN
37000,4.25,2005,0,12,7,19900,4154,10000,6.72,OWN
95000,16.62,2006,3,18,10,68563,30355,10000,7.97,OWN
71000,23.48,2005,4,43,28,217548,145677,32000,7.34,OWN
27000,9.47,2012,1,20,13,44600,13764,12850,11.98,OWN
1.00E+05,10.92,2001,3,10,5,30000,15946,40000,10.9,OWN
13000,19.85,1997,2,20,7,10700,4961,8000,16.02,OWN
69000,22.87,1990,0,15,12,65989,50370,7500,17.09,OWN
30000,31.24,2004,0,11,8,91440,41316,3000,9.44,OWN
65000,4.8,1999,0,14,6,69210,7656,7000,6.71,OWN
25000,21.84,1999,1,20,11,39350,17861,21600,18.45,OWN
49000,24.03,1998,0,17,14,48247,39528,4000,20.39,OWN
72949,6.02,1996,1,26,10,88600,84388,20000,14.08,OWN
110000,14.1,1995,2,38,23,104547,56488,30000,17.47,OWN
75000,10.1,2002,13,16,10,36867,24907,35000,15.05,OWN
108000,31.89,2006,3,30,10,727959,134685,25000,14.08,OWN
28740,22.05,2000,11,25,9,31164,17813,10000,10.9,OWN
40000,32.67,2002,0,10,6,47549,38126,18000,17.09,RENT
50000,19.36,2008,1,30,15,60222,46613,6800,6.71,RENT
180000,20.55,2007,3,20,12,137762,97532,35000,11.99,RENT
41000,5.33,1998,0,11,6,14500,6278,6000,10.41,RENT
62000,11.15,1993,0,16,9,29494,8350,4500,9.44,RENT
60000,16.33,2006,0,29,14,87978,41771,3600,6.08,RENT
29000,10.89,2002,2,3,2,10800,9194,1500,21.45,RENT
103000,14.52,2007,3,12,10,70917,38794,15000,6.72,RENT
20000,55.34,2013,0,8,5,45281,20671,23500,13.59,RENT
42000,14.89,2002,0,9,5,27954,19064,7200,11.99,RENT
110000,22.05,2008,2,31,20,132171,92912,32000,13.59,RENT
30000,31.72,2006,3,26,7,52549,34717,2200,18.06,RENT
350000,10.28,1969,0,25,10,224676,92736,40000,7.35,RENT
50000,16.75,2005,0,17,10,237699,20149,8000,23.88,RENT
40000,6.27,2013,1,7,5,23700,15694,16000,21.45,RENT
58000,21.19,2002,0,46,25,118674,101390,12000,26.3,RENT
35000,10.8,2005,0,14,6,216259,7957,8000,6.71,RENT
55000,3.93,2006,3,8,4,4300,3323,3500,20.39,RENT
43664,20.31,2008,0,11,6,43889,35904,8000,12.62,RENT
69077,23.04,1993,0,16,7,80140,43078,40000,9.44,RENT
160000,9.26,2003,3,13,11,173547,140118,12000,25.82,RENT
42500,14.46,2000,1,21,8,18520,12299,6650,17.09,RENT
40000,12.07,2008,0,18,13,50932,46132,4800,10.41,RENT
55000,21.56,2005,1,41,6,282145,310894,1550,9.93,RENT
42000,15.23,2009,1,12,10,32864,21411,7000,13.58,RENT
90000,11.13,2004,2,14,8,50855,30582,8400,10.91,RENT
64000,16.33,1998,1,15,6,88231,30251,8500,20.39,RENT
78500,17.53,2009,1,14,12,140892,57432,9000,7.34,RENT
20000,32.11,2012,3,8,7,46540,29530,5000,16.02,RENT
80000,10.52,2003,2,24,12,69538,42442,28000,14.07,RENT
45000,33.41,2000,2,12,8,89074,56646,10000,17.09,RENT
70000,13.65,2006,2,13,7,33189,22578,10000,15.05,RENT
48000,14.33,2007,3,30,10,61238,25620,32200,19.42,RENT
69000,24.12,1995,1,13,10,101957,76108,14400,5.31,RENT
55000,25.53,2004,2,27,13,84427,24340,12000,7.34,RENT
60000,9.8,2013,1,6,4,40059,30191,10000,11.98,RENT
233000,22.07,1998,0,27,15,233195,164523,35000,15.05,RENT
36000,24.03,2008,5,13,11,58442,34406,10000,7.96,RENT
108407,7.07,1998,0,5,3,44086,26925,40000,9.92,RENT
28800,24.62,2013,0,15,13,71575,19435,8300,6.72,RENT
13728,14.16,2006,0,4,3,10300,5435,4500,9.43,RENT
38000,14.53,1982,0,10,5,26200,15386,8300,9.43,RENT
90000,11.96,1998,0,18,9,86376,57302,25000,10.42,RENT
48000,19.5,1997,0,41,25,91506,71435,25000,12.62,RENT
104000,31.13,2002,1,28,13,200725,163209,19000,15.04,RENT
80000,5.81,2006,0,13,3,26784,14102,6000,11.99,RENT
70000,21.79,2004,1,17,8,216901,32432,24000,14.07,RENT
60000,12.6,1999,5,10,7,23900,16449,5000,14.08,RENT
60000,31.44,1988,0,25,18,105964,40609,14000,5.32,RENT
1.00E+05,23.72,1999,1,31,6,140070,107697,18000,9.93,RENT
75000,13.25,2006,3,35,27,169063,121769,40000,13.59,RENT
33500,14.44,2008,0,20,4,66747,63100,4500,12.62,RENT
59000,16.11,2002,0,11,8,71920,43473,13000,7.97,RENT
20000,7.14,2012,5,20,20,52650,15389,5000,11.99,RENT
95000,24.86,2005,1,31,15,115324,66850,12000,12.61,RENT
70000,17.35,2012,0,22,9,97512,61626,16000,7.96,RENT
123000,13.83,2004,0,26,6,66000,55684,25000,9.43,RENT
74000,17.43,2002,1,35,21,148383,110615,32400,19.42,RENT
80000,10.72,1998,2,20,8,29127,16679,13000,21.85,RENT
87000,19.96,1997,0,18,9,108900,56226,19000,6.72,RENT
32000,16.39,2005,2,16,11,38576,16434,4300,7.96,RENT
85000,18.24,2005,2,16,13,75352,40273,8800,17.47,RENT
40000,7.44,2013,0,5,4,12000,8920,10000,10.42,RENT
68000,13.82,2007,2,21,11,39865,21659,30000,24.85,RENT
122000,14.69,1994,6,26,21,463448,38149,20000,19.03,RENT
75000,1.36,2001,1,6,3,4600,1637,10000,12.62,RENT
30000,23.8,2009,1,15,11,82916,57148,10000,10.42,RENT
32000,14.82,2007,3,6,5,30651,17592,8000,17.47,RENT
75000,5.34,2002,2,13,5,19000,3471,20000,7.35,RENT
70000,14.73,2006,1,11,6,36188,13319,10000,11.99,RENT
1.00E+05,8.59,2012,0,8,8,30633,26536,18000,19.42,RENT
40000,25.83,2009,2,20,13,130311,97437,16000,13.58,RENT
