Date,TurtleID,SiteName,TurtleSpecies,Day,Time,Recapture,Status,CaptureComment,Latitude,Longitude,Datum,LocationDescription,InsideSite,StudySite,CaptureMethod,Temp,SkyIndex,Weather,DaysSinceLastRain,EyeColor,LifeStage,Sex,Annuli,Mass,PhotoTaken,StraightlineCL,MaxCW,PL_AnteriortoHinge,PL_HingetoPosterior,Total_PL,ShellHeightatHinge,Habitat,Selected_InjuriesorDefects,InjuriesorDefects Notes,Selected_IllnessorHeatlth_Issues,IllnessorHealth_Issues_Notes,SelectedParasites,ParasitesNotes,Notes
7/13/2009,BHI,Piedmont Wildlife Center,TERCAR,Mon,10:30:00,N,Alive,NA,35.92188,-78.98288,WGS84,trail to mailbox near pumphouse,Y,Leigh Farm,4,79.7,4,3,0,NA,Adult,Female,14,332,Y,107,90,44,68,112,58,other,"Crushed or damaged carapace, Tooth marks on shell","chunk out of scoot A, chewed in Oct.",None detected,NA,None detected,NA,NA
7/17/2009,ABW,Piedmont Wildlife Center,TERCAR,Fri,14:00:00,N,Alive,NA,35.92093,-78.98342,WGS84,in weeds by greenhouse,Y,Leigh Farm,3,93,3,1,4,NA,Adult,Male,12,363,Y,124,99,53,70,123,56,field/forest edge (within 6m of boundry),None seen,very good shape,None detected,NA,None detected,NA,NA
7/17/2009,ABV,Piedmont Wildlife Center,TERCAR,Fri,14:00:00,N,Alive,NA,35.92093,-78.98342,WGS84,in weeds by green house,Y,Leigh Farm,3,93,3,1,4,NA,Adult,Female,10,245,Y,106,85,45,61,106,49,field/forest edge (within 6m of boundry),None seen,very good shape,None detected,NA,None detected,NA,NA
7/17/2009,ABQ,Piedmont Wildlife Center,TERCAR,Fri,11:40:00,N,Alive,NA,35.92267,-78.98408,WGS84,inner loop near outer loop junction,Y,Leigh Farm,4,83.1,3,1,4,NA,Adult,Male,14,362,Y,122,98,50,72,122,57,hardwood forest,Tooth marks on shell,"chewed up spots on carapace and plastron as shown (Feb, G, H)",None detected,NA,None detected,NA,NA
7/17/2009,AHI,Piedmont Wildlife Center,TERCAR,Fri,15:45:00,N,Dead,NA,35.91743,-78.98395,WGS84,"At curb, Leigh Farm Road (Outside LFP)",N,NA,4,93,3,1,4,NA,Adult,Male,17,205,N,104,82,40,59,99,46,other,Other,Very minor markings,None detected,NA,None detected,NA,"FOUND DEAD Turtle was facing long unbroken curb, with no visible injuries. Presumed dead of heatstroke after being unable to climb curb. Small for age displayed several years of minimal growth"
7/21/2009,ABX,Piedmont Wildlife Center,TERCAR,Tue,11:00:00,N,Alive,NA,35.92093,-78.98236,WGS84,near disc golf tee #2,Y,Leigh Farm,4,85,0,1,1,NA,Adult,Male,18,426,Y,133,111,54,77,131,63,field,None seen,in excellent shape,None detected,NA,None detected,NA,NA
7/23/2009,ACJ,Piedmont Wildlife Center,TERCAR,Thu,13:00:00,N,Alive,NA,35.92746,-78.98424,WGS84,on ramsgate road trail,Y,Leigh Farm,4,86,2,1,1,NA,Adult,Male,14,333,Y,122,98,45,73,118,55,hardwood forest,None seen,excellent shape,None detected,NA,None detected,NA,NA
7/23/2009,ACI,Piedmont Wildlife Center,TERCAR,Thu,11:00:00,N,Alive,NA,35.92352,-78.98511,WGS84,outer loop trail near I-40 wetland,Y,Leigh Farm,4,87,2,1,1,NA,Adult,Male,15,405,Y,123,99,49,72,121,61,forest wetland,None seen,excellent shape,None detected,NA,None detected,NA,NA
7/24/2009,ACK,Piedmont Wildlife Center,TERCAR,Fri,12:45:00,N,Alive,NA,35.01963,-79.00585,WGS84,behind greenhouse,Y,Leigh Farm,4,86,1,1,1,NA,Adult,Male,11,303,Y,115,90,47,66,113,56,hardwood forest,None seen,NA,None detected,NA,None detected,NA,NA
7/29/2009,HJK,Piedmont Wildlife Center,TERCAR,Wed,10:45:00,N,Alive,NA,35.9224,-78.98421,WGS84,Woods near packing house,Y,Leigh Farm,4,91,2,1,1,NA,Adult,Male,17,365,Y,120,98,49,74,123,55,field/forest edge (within 6m of boundry),None seen,NA,None detected,NA,None detected,NA,NA
7/31/2009,ACL,Piedmont Wildlife Center,TERCAR,Fri,11:45:00,N,Alive,NA,35.92384,-78.98243,WGS84,in wetland near boardwalk,Y,Leigh Farm,4,92,4,1,2,NA,Adult,Female,12,200,Y,97,79,39,55,94,47,forest wetland,None seen,great shape,None detected,NA,None detected,NA,NA
8/3/2009,ACM,Piedmont Wildlife Center,TERCAR,Mon,12:20:00,N,Alive,NA,35.92083,-78.98334,WGS84,behind greenhouse by back steps,Y,Leigh Farm,4,NA,1,1,1,NA,Adult,Male,17,400,Y,122,104,47,70,117,60,field/forest edge (within 6m of boundry),None seen,excellent shape,None detected,NA,None detected,NA,NA
8/4/2009,ABO,Piedmont Wildlife Center,TERCAR,Tue,12:02:00,Y,Alive,NA,35.92532,-78.9823,WGS84,near pond on outer loop,Y,Leigh Farm,4,86.2,2,1,1,NA,Adult,Female,11,202,Y,102,78,39,59,98,49,open wetland,None seen,very light bottom,None detected,NA,None detected,NA,NA
8/6/2009,ACP,Piedmont Wildlife Center,TERCAR,Thu,14:50:00,N,Alive,NA,35.92207,-78.98346,WGS84,edge of woods next to check in tent,Y,Leigh Farm,4,81,4,1,0,NA,Adult,Female,23,425,Y,115,101,50,72,122,64,field/forest edge (within 6m of boundry),NA,Deep cleft between A & X thru May. Misshapen to right. Extensive markings/fungus throughout.,NA,NA,NA,NA,Extremely active
8/6/2009,ACO,Piedmont Wildlife Center,TERCAR,Thu,11:00:00,N,Alive,NA,35.92012,-78.98227,WGS84,on hilltop of fill dirt,Y,Leigh Farm,4,81,4,1,0,NA,Adult,Male,13,335,Y,121,95,46,74,120,53,field,None seen,NA,None detected,NA,None detected,NA,NA
8/7/2009,ACQ,Piedmont Wildlife Center,TERCAR,Fri,10:30:00,N,Alive,NA,35.9202,-78.9838,WGS84,in creek bed near entrance road,Y,Leigh Farm,4,84,1,1,1,NA,Adult,Male,18,250,Y,104,85,38,62,100,53,forest wetland,"Crushed or damaged carapace, Crushed or damaged plastron","several old chew marks on carapace, significant pitting/burn damage on left rear plastron",None detected,NA,None detected,NA,very active
8/9/2009,ACH,Piedmont Wildlife Center,TERCAR,Sun,23:00:00,Y,Alive,NA,35.9202,-78.9838,WGS84,in creek bed near entrance road,Y,Leigh Farm,4,83,2,1,1,NA,Adult,Male,15,256,Y,111,90,44,67,111,53,forest wetland,None seen,NA,None detected,NA,None detected,NA,NA
8/11/2009,ACV,Piedmont Wildlife Center,TERCAR,Tue,14:20:00,N,Alive,NA,35.92092,-78.98291,WGS84,by log behind greenhouse,Y,Leigh Farm,4,95,1,1,2,NA,Adult,Female,15,282,Y,105,83,41,67,108,51,hardwood forest,NA,great shape,None detected,NA,None detected,NA,very active - won't go into shell to mark
8/14/2009,ACX,Piedmont Wildlife Center,TERCAR,Fri,11:00:00,N,Alive,NA,35.9205,-78.98297,WGS84,NA,Y,Leigh Farm,4,86,4,1,2,NA,Juvenile,Female,7,83,Y,73,58,29,43,72,38,forest wetland,None seen,NA,None detected,NA,None detected,NA,"very clean, no markings"
8/14/2009,ACW,Piedmont Wildlife Center,TERCAR,Fri,12:00:00,Y,Alive,NA,35.92018,-78.98392,WGS84,behind greenhouse,Y,Leigh Farm,4,86,4,1,2,NA,Adult,Male,16,435,Y,137,109,51,79,130,58,forest wetland,None seen,NA,None detected,NA,None detected,NA,very good condition
8/14/2009,ACN,Piedmont Wildlife Center,TERCAR,Fri,11:30:00,Y,Alive,NA,35.92004,-78.98382,WGS84,behind greenhouse in streambed,Y,Leigh Farm,4,86,4,1,2,NA,Adult,Male,15,375,Y,120,97,49,72,121,56,forest wetland,Tooth marks on shell,"chewed between A & X on carapace, old chew marks",None detected,NA,None detected,NA,Found near ACH recapture at same date and time
9/3/2009,BCH,Piedmont Wildlife Center,TERCAR,Thu,10:10:00,N,Alive,NA,35.92028,-78.98416,WGS84,Center of lane in entrance road to park,Y,Leigh Farm,1,71,0,1,2,NA,Adult,Male,17,382,N,122,95,48,72,120,59,hardwood forest,Tooth marks on shell,"Small, old chew marks on A",None detected,NA,None detected,NA,NA
9/21/2009,AIJ,Piedmont Wildlife Center,TERCAR,Mon,11:00:00,N,Alive,NA,35.92299,-78.98323,WGS84,just off trail on north side of outer loop trail,Y,Leigh Farm,4,72,1,1,2,NA,Adult,Male,15,425,N,132,99,51,71,122,56,hardwood forest,Other,small bump at right hinge  of plastron 5 toes on left front foot,None detected,NA,None detected,NA,very active and out of shell most of time
9/29/2009,AHX,Piedmont Wildlife Center,TERCAR,Tue,11:45:00,N,Alive,NA,35.92324,-78.98279,WGS84,behind white farm house,Y,Leigh Farm,4,68,1,1,1,NA,Adult,Female,6,124,N,85,66,34,49,83,40,field/forest edge (within 6m of boundry),None seen,NA,None detected,NA,None detected,NA,very active and out of shell most of time
10/5/2009,AJK,Piedmont Wildlife Center,TERCAR,Mon,11:00:00,N,Alive,NA,35.92496,-78.98287,WGS84,outer loop trail eastern side,Y,Leigh Farm,4,67,4,2,0,NA,Adult,Male,12,456,Y,141,104,54,75,129,66,hardwood forest,NA,2 extra marginal scutes we marked AJK so they weren't an issue,None detected,NA,None detected,NA,NA
10/5/2009,AHW,Piedmont Wildlife Center,TERCAR,Mon,10:30:00,N,Alive,NA,35.92487,-78.98307,WGS84,NE side of trail outer loop to the west,Y,Leigh Farm,4,65,4,2,0,NA,Adult,Female,6,102,Y,84,65,32,48,80,37,hardwood forest,None seen,NA,None detected,NA,None detected,NA,NA
10/9/2009,AHQ,Piedmont Wildlife Center,TERCAR,Fri,11:50:00,N,Alive,NA,35.92225,-78.98424,WGS84,Pine woods,Y,Leigh Farm,4,78,1,1,2,NA,Adult,Male,10,351,Y,123,94,49,67,116,57,hardwood forest,None seen,NA,None detected,NA,None detected,NA,NA
10/12/2009,AHP,Piedmont Wildlife Center,TERCAR,Mon,4:00:00,N,Alive,NA,35.92174,-78.98108,WGS84,NA,Y,Leigh Farm,4,75,4,3,0,NA,Adult,Male,17,375,Y,131,96,52,73,125,52,field/forest edge (within 6m of boundry),Tooth marks on shell,partially chewed up on scoot h,None detected,NA,None detected,NA,NA
10/21/2009,AIK,Piedmont Wildlife Center,TERCAR,Wed,10:50:00,N,Alive,NA,35.92463,-78.98337,WGS84,NA,Y,Leigh Farm,4,71,0,1,4,NA,Adult,Female,17,455,N,123,98,50,75,125,63,hardwood forest,"Crushed or damaged carapace, Crushed or damaged plastron, Other","Many light (old) chips on carapace, significant chip on plastron, Fungus",None detected,NA,None detected,NA,NA
5/19/2010,AHN,Piedmont Wildlife Center,TERCAR,Wed,11:33:00,N,Alive,NA,35.92361,-78.98189,WGS84,outer loop trail,Y,Leigh Farm,4,67.6,4,1,1,NA,Adult,Female,19,350,Y,109,96,45,69,114,61,forest wetland,Other,missing either K or L marginal scoot,NA,NA,NA,NA,found mounted by AHK
5/19/2010,AHK,Piedmont Wildlife Center,TERCAR,Wed,11:33:00,N,Alive,NA,35.92361,-78.98189,WGS84,outer loop trail,Y,Leigh Farm,4,67.6,4,1,1,NA,Adult,Male,18,336,Y,119,95,47,68,115,59,forest wetland,"Crushed or damaged carapace, Missing digits, and/or limbs",Deformed toe on left hind limb. chewing on marginal scutes,NA,NA,NA,NA,found mounting AHN
6/1/2010,AHJ,Piedmont Wildlife Center,TERCAR,Tue,12:01:00,N,Alive,NA,35.92087,-78.98166,WGS84,disc golf hole #4,Y,Leigh Farm,3,80,1,2,0,NA,Adult,Female,13,395,Y,117,92,46,71,117,60,hardwood forest,None seen,NA,NA,NA,NA,NA,very active
6/14/2010,AHN,Piedmont Wildlife Center,TERCAR,Mon,12:00:00,Y,NA,NA,35.92451,-78.98292,WGS84,NA,Y,Leigh Farm,4,80.6,1,1,1,NA,Adult,Female,19,350,Y,109,96,45,69,114,61,forest wetland,NA,NA,NA,NA,NA,NA,NA
6/15/2010,JKN,Piedmont Wildlife Center,TERCAR,Tue,2:00:00,N,Alive,NA,35.92235,-78.98208,WGS84,NA,Y,Leigh Farm,4,83.1,2,1,2,NA,Adult,Male,17,420,Y,126,105,50,77,127,63,field/forest edge (within 6m of boundry),Crushed or damaged carapace,front marginal scoutes are damaged which makes the CL shorter than the measurement should be. shell is very worn,NA,NA,NA,NA,NA
6/16/2010,ACI,Piedmont Wildlife Center,TERCAR,Wed,4:39:00,Y,Alive,NA,35.92266,-78.98384,WGS84,off the trail of inner loop,Y,Leigh Farm,3,80.2,1,1,0,NA,Adult,Male,16,430,N,123,100,49,71,120,60,hardwood forest,None seen,NA,NA,NA,NA,NA,"very active, outside of the shell entire time"
6/17/2010,ABI,Piedmont Wildlife Center,TERCAR,Thu,11:52:00,Y,Alive,NA,35.91998,-78.98295,WGS84,disc golf course,Y,Leigh Farm,6,88,0,1,1,NA,Adult,Female,15,306,Y,115,96,47,70,117,61,field/forest edge (within 6m of boundry),"Missing digits, and/or limbs",missing left forelimb and tail,NA,NA,NA,NA,NA
6/17/2010,ACM,Piedmont Wildlife Center,TERCAR,Thu,12:07:00,Y,Alive,NA,35.9217,-78.98306,WGS84,bushes at disc golf hole #3,Y,Leigh Farm,6,91.2,0,1,1,NA,Adult,Male,23,400,Y,123,102,53,80,133,60,field/forest edge (within 6m of boundry),Tooth marks on shell,chewing on scoutes,NA,NA,NA,NA,NA
6/17/2010,HIJ,Piedmont Wildlife Center,TERCAR,Thu,11:52:00,Y,Alive,NA,35.92618,-78.98261,WGS84,disc golf course,Y,Leigh Farm,6,88,0,1,1,NA,Adult,Male,24,202,Y,102,80,40,58,98,47,field/forest edge (within 6m of boundry),Tooth marks on shell,chewing on scoutes A-E,NA,NA,NA,NA,NA
6/17/2010,ABJ,Piedmont Wildlife Center,TERCAR,Thu,11:27:00,Y,Alive,NA,35.92109,-78.98152,WGS84,NA,Y,Leigh Farm,6,85,0,1,1,NA,Adult,Female,30,500,Y,131,101,51,80,131,63,field/forest edge (within 6m of boundry),None seen,NA,NA,NA,NA,NA,NA
6/17/2010,AHL,Piedmont Wildlife Center,TERCAR,Thu,11:20:00,N,Alive,NA,35.92029,-78.98196,WGS84,NA,Y,Leigh Farm,6,88.3,0,1,1,NA,Adult,Male,24,407,Y,136,104,57,77,134,58,field/forest edge (within 6m of boundry),"Crushed or damaged carapace, Tooth marks on shell","holes in shell, looks chewed on",NA,NA,NA,NA,found while eating a mushroom
6/22/2010,BCI,Piedmont Wildlife Center,TERCAR,Tue,11:33:00,N,Alive,NA,35.92146,-78.98167,WGS84,In a dry stream bed,Y,Leigh Farm,4,82.2,0,1,2,NA,Adult,Male,18,410,Y,118,98,48,72,120,63,hardwood forest,"Crushed or damaged carapace, Tooth marks on shell","A and X are chewed, which decreases the max CL",NA,NA,NA,NA,NA
6/22/2010,ACH,Piedmont Wildlife Center,TERCAR,Tue,8:00:00,Y,Alive,NA,35.92099,-78.98405,WGS84,NA,Y,Leigh Farm,1,81.3,1,1,2,NA,Adult,Male,17,250,Y,111,88,47,66,113,53,field/forest edge (within 6m of boundry),None seen,NA,NA,NA,NA,NA,NA
6/22/2010,ACP,Piedmont Wildlife Center,TERCAR,Tue,9:57:00,Y,Alive,NA,35.92225,-78.98131,WGS84,NA,Y,Leigh Farm,3,81.3,3,1,2,NA,Adult,Male,20,427,Y,114,99,49,71,120,62,field/forest edge (within 6m of boundry),Crushed or damaged carapace,gash in shell from X-A down through May,None detected,NA,NA,NA,"Very Active, caught eating a slug"
6/24/2010,AHO,Piedmont Wildlife Center,TERCAR,Thu,15:30:00,N,Alive,NA,35.92242,-78.98118,WGS84,BLACKBERRY BUSH BEHIND CABIN,Y,Leigh Farm,4,92.7,0,1,1,NA,Adult,Female,16,140,Y,83,66,38,52,90,39,field/forest edge (within 6m of boundry),NA,NA,NA,NA,NA,NA,EATING A BERRY
6/24/2010,BCJ,Piedmont Wildlife Center,TERCAR,Thu,12:00:00,N,Alive,NA,35.91914,-78.97902,WGS84,"""FROG POND""",Y,Leigh Farm,4,90,0,1,1,NA,Adult,Male,30,350,Y,122,97,50,69,119,54,hardwood forest,Crushed or damaged carapace,A and X chewed off. shell looks flaky,None detected,NA,None detected,NA,NA
6/24/2010,AIL,Piedmont Wildlife Center,TERCAR,Thu,8:00:00,N,Alive,NA,35.92169,-78.98344,WGS84,back pack stand at the front of the park,Y,Leigh Farm,4,80,0,1,1,NA,Adult,Male,30,365,Y,117,97,47,71,118,61,field,None seen,NA,NA,NA,NA,NA,very active
6/28/2010,AIM,Piedmont Wildlife Center,TERCAR,Mon,11:33:00,N,Alive,NA,35.92278,-78.9807,WGS84,NA,Y,Leigh Farm,4,94.6,1,1,3,NA,Adult,Male,9,225,Y,109,86,42,64,106,46,forest wetland,None seen,NA,NA,NA,NA,NA,in mud under a log
6/28/2010,OPQ,Piedmont Wildlife Center,TERCAR,Mon,15:45:00,N,Alive,NA,35.92296,-78.9813,WGS84,NEAR BLACKBERRY BUSH,Y,Leigh Farm,3,90.7,1,1,3,NA,Adult,Female,20,390,N,122,102,48,73,121,57,field/forest edge (within 6m of boundry),Crushed or damaged carapace,shell  was very damaged. little left of any marginal scutes,None detected,NA,None detected,NA,"closed up, been chewed on by many predators"
6/28/2010,AIN,Piedmont Wildlife Center,TERCAR,Mon,15:45:00,N,Alive,NA,35.92066,-78.98143,WGS84,NA,Y,Leigh Farm,3,90.7,1,1,3,NA,Adult,Male,19,360,N,126,96,51,75,126,53,field/forest edge (within 6m of boundry),None seen,NA,NA,NA,NA,NA,"near a blackberry bush, found close to OPQ and JKN"
7/9/2010,ABM,Piedmont Wildlife Center,TERCAR,Fri,13:30:00,Y,Alive,NA,35.92149,-78.98289,WGS84,NA,Y,Leigh Farm,4,95,0,1,1,NA,Adult,Male,30,380,Y,119,95,45,73,118,56,field/forest edge (within 6m of boundry),Tooth marks on shell,NA,NA,NA,NA,NA,EATING A SLUG
7/13/2010,AIO,Piedmont Wildlife Center,TERCAR,Tue,14:00:00,N,Alive,NA,35.92687,-78.98405,WGS84,NA,Y,Leigh Farm,4,81.5,3,1,0,NA,Adult,Female,12,290,Y,108,90,43,63,106,53,field/forest edge (within 6m of boundry),None seen,NA,NA,NA,NA,NA,NA
7/14/2010,AIP,Piedmont Wildlife Center,TERCAR,Wed,15:30:00,N,Alive,NA,35.92453,-78.98274,WGS84,OUTER LOOP UNDER A TREE,Y,Leigh Farm,4,86.2,1,1,0,NA,Adult,Male,15,385,N,136,106,54,74,128,60,forest wetland,NA,DIRTY AND WORN CARAPACE,None detected,NA,None detected,NA,NA
7/23/2010,AHM,Piedmont Wildlife Center,TERCAR,Fri,15:30:00,N,Alive,NA,35.92231,-78.98144,WGS84,under window outside cabin,Y,Leigh Farm,4,100.9,2,1,3,NA,Adult,Female,21,180,N,102,79,44,67,111,50,field/forest edge (within 6m of boundry),None seen,NA,NA,NA,NA,NA,NA
7/27/2010,BCK,Piedmont Wildlife Center,TERCAR,Tue,13:10:00,N,Alive,NA,35.92077,-78.97479,WGS84,NA,Y,Leigh Farm,4,74,4,3,0,NA,Juvenile,Male,6,190,N,104,82,47,65,112,50,pine forest,Other,has an extra scute at M/N,None detected,NA,None detected,NA,very shy
7/29/2010,AIQ,Piedmont Wildlife Center,TERCAR,Thu,10:30:00,N,Alive,NA,35.92266,-78.98243,WGS84,Trail leading to cabin,Y,Leigh Farm,4,87.6,0,1,2,NA,Adult,Male,23,325,N,120,91,49,76,125,53,field/forest edge (within 6m of boundry),None seen,NA,None detected,NA,None detected,NA,NA
8/2/2010,ABI,Piedmont Wildlife Center,TERCAR,Mon,12:00:00,Y,Alive,NA,35.92058,-78.98287,WGS84,Behind Sarah's house,Y,Leigh Farm,4,83.1,3,1,2,NA,Adult,Female,40,350,N,114,96,47,69,116,64,field,NA,Amputated left foot (as noted in previous capture). This is a rescue turtle.,None detected,NA,None detected,NA,NA
8/2/2010,ACH,Piedmont Wildlife Center,TERCAR,Mon,12:00:00,Y,Alive,NA,35.92085,-78.98294,WGS84,Behind Sarah's house,Y,Leigh Farm,4,80,3,1,2,NA,Adult,Male,33,295,N,111,90,44,67,111,53,field/forest edge (within 6m of boundry),None seen,NA,None detected,NA,None detected,NA,NA
8/2/2010,ABP,Piedmont Wildlife Center,TERCAR,Mon,12:00:00,Y,Alive,NA,35.92179,-78.98306,WGS84,NA,Y,Leigh Farm,4,80,3,1,2,NA,Adult,Female,30,380,N,128,100,46,77,123,59,field/forest edge (within 6m of boundry),"Missing digits, and/or limbs, Other",Very flaky shell. Amputated right hind foot. Rescue Turtle.,None detected,NA,None detected,NA,NA
8/2/2010,AIV,Piedmont Wildlife Center,TERCAR,Mon,12:45:00,N,Alive,NA,NA,NA,WGS84,Next to front stairs at the farm house,Y,Leigh Farm,4,80,1,1,2,NA,Adult,Female,40,295,Y,109,85,44,64,108,61,field/forest edge (within 6m of boundry),Other,"Very ""lumpy"". Unusual shaped front plastron.",None detected,NA,None detected,NA,NA
8/3/2010,AIW,Piedmont Wildlife Center,TERCAR,Tue,12:00:00,N,Alive,NA,NA,NA,WGS84,Outer Loop close to the housing development,Y,Leigh Farm,4,82.9,2,1,2,NA,Adult,Female,25,390,N,116,93,47,68,115,56,field/forest edge (within 6m of boundry),None seen,NA,None detected,NA,None detected,NA,NA
8/3/2010,AIX,Piedmont Wildlife Center,TERCAR,Tue,12:00:00,N,Alive,NA,NA,NA,WGS84,Outer Loop next to housing development,Y,Leigh Farm,4,82.9,2,1,2,NA,Adult,Male,20,320,Y,117,93,48,68,116,57,field/forest edge (within 6m of boundry),Other,Flaky shell,None detected,NA,None detected,NA,NA
8/4/2010,AJL,Piedmont Wildlife Center,TERCAR,Wed,7:48:00,N,Alive,NA,35.92253,-78.982,WGS84,In front of the Aerie,Y,Leigh Farm,4,77,4,2,0,NA,Adult,Male,40,475,N,137,105,52,79,131,63,field/forest edge (within 6m of boundry),None seen,NA,None detected,NA,None detected,NA,NA
8/6/2010,CHI,Piedmont Wildlife Center,TERCAR,Fri,11:30:00,N,Alive,NA,35.92097,-78.9849,WGS84,Inner loop near trail,Y,Leigh Farm,4,86,1,1,1,NA,Adult,Male,25,405,N,128,106,51,72,123,59,field/forest edge (within 6m of boundry),"Tooth marks on shell, Other","Chewed scutes A and B, small hole in plastron. Extra scute after L",None detected,NA,None detected,NA,NA
8/6/2010,AJX,Piedmont Wildlife Center,TERCAR,Fri,11:00:00,N,Alive,NA,35.9219,-78.98262,WGS84,trail near Mars Hill,Y,Leigh Farm,4,89,1,1,1,NA,Adult,Female,18,350,N,117,90,45,71,116,60,field/forest edge (within 6m of boundry),Crushed or damaged carapace,Scutes L and M missing,None detected,NA,None detected,NA,NA
8/6/2010,BMP,Piedmont Wildlife Center,TERCAR,Fri,11:00:00,N,Alive,NA,35.9219,-78.98262,WGS84,NA,Y,Leigh Farm,4,86,1,1,1,NA,Adult,Male,25,352,N,129,99,48,71,119,59,field/forest edge (within 6m of boundry),Tooth marks on shell,Chewed scutes J and K,None detected,NA,None detected,NA,NA
8/9/2010,AIP,Piedmont Wildlife Center,TERCAR,Mon,13:30:00,Y,Alive,NA,35.9218,-78.98062,WGS84,next to dry stream where the tree with the poison ivy was; 30 yards into the game lands.,Y,Leigh Farm,4,91,3,1,3,NA,Adult,Male,25,435,N,137,106,55,75,130,55,field/forest edge (within 6m of boundry),None seen,NA,None detected,NA,None detected,NA,NA
