name,sex,ethnicity,quality,call,experience,equal
Aisha,female,afam,high,0,5,no
Anne,female,cauc,low,0,7,no
Latoya,female,afam,low,0,9,no
Laurie,female,cauc,high,0,7,no
Anne,female,cauc,low,0,9,no
Carrie,female,cauc,high,1,10,no
Ebony,female,afam,low,0,9,no
Lakisha,female,afam,high,0,10,no
Allison,female,cauc,high,0,16,no
Keisha,female,afam,high,0,12,no
Kristen,female,cauc,low,0,11,no
Tanisha,female,afam,low,0,13,no
Aisha,female,afam,high,0,4,no
Emily,female,cauc,low,0,4,no
Latonya,female,afam,low,0,5,no
Sarah,female,cauc,high,0,4,no
Geoffrey,male,cauc,high,0,12,no
Kareem,male,afam,low,1,3,no
Kristen,female,cauc,low,0,6,yes
Rasheed,male,afam,high,0,4,no
Todd,male,cauc,low,0,7,no
Tyrone,male,afam,low,0,5,yes
Brendan,male,cauc,low,0,6,no
Jamal,male,afam,low,0,2,no
Matthew,male,cauc,high,0,6,no
Meredith,female,cauc,high,1,4,no
Rasheed,male,afam,high,0,4,no
Tremayne,male,afam,high,1,11,no
Anne,female,cauc,high,1,6,yes
Ebony,female,afam,high,1,6,yes
Kristen,female,cauc,low,1,6,yes
Tamika,female,afam,low,0,6,yes
Aisha,female,afam,high,0,4,no
Allison,female,cauc,low,0,6,yes
Emily,female,cauc,high,0,8,yes
Kristen,female,cauc,high,0,4,no
Latoya,female,afam,high,0,8,yes
Tamika,female,afam,low,0,6,yes
Aisha,female,afam,low,0,3,no
Anne,female,cauc,high,0,7,no
Emily,female,cauc,low,0,2,no
Jill,female,cauc,low,0,6,yes
Keisha,female,afam,high,0,4,no
Lakisha,female,afam,low,0,6,yes
Ebony,female,afam,low,0,7,no
Kenya,female,afam,high,0,9,no
Kristen,female,cauc,low,0,15,no
Meredith,female,cauc,high,0,12,no
Aisha,female,afam,low,0,6,no
Anne,female,cauc,low,0,4,no
Emily,female,cauc,low,0,6,no
Emily,female,cauc,high,0,7,no
Kenya,female,afam,low,0,6,no
Latonya,female,afam,high,0,5,no
Anne,female,cauc,low,0,7,yes
Emily,female,cauc,high,0,7,yes
Keisha,female,afam,low,0,8,yes
Tamika,female,afam,high,0,7,yes
Anne,female,cauc,low,0,3,yes
Emily,female,cauc,high,0,3,yes
Keisha,female,afam,high,0,5,yes
Kenya,female,afam,low,0,4,yes
Latoya,female,afam,high,0,6,no
Neil,male,cauc,high,0,3,no
Aisha,female,afam,low,0,6,no
Anne,female,cauc,high,0,2,no
Emily,female,cauc,low,0,4,no
Tamika,female,afam,high,0,21,no
Carrie,female,cauc,low,0,5,no
Jill,female,cauc,low,0,5,no
Keisha,female,afam,high,0,5,no
Latonya,female,afam,low,0,4,no
Sarah,female,cauc,high,0,5,no
Tyrone,male,afam,low,0,5,no
Carrie,female,cauc,high,0,6,no
Emily,female,cauc,low,0,6,no
Latoya,female,afam,low,0,6,no
Tanisha,female,afam,high,0,6,no
Aisha,female,afam,high,0,3,no
Kristen,female,cauc,high,0,16,no
Lakisha,female,afam,low,0,6,no
Laurie,female,cauc,low,0,6,no
Allison,female,cauc,high,0,7,no
Jill,female,cauc,low,0,4,no
Keisha,female,afam,low,0,11,no
Kristen,female,cauc,high,0,5,no
Lakisha,female,afam,high,0,2,no
Leroy,male,afam,high,0,5,no
Brad,male,cauc,high,0,4,no
Keisha,female,afam,high,0,6,no
Allison,female,cauc,high,0,5,no
Carrie,female,cauc,low,0,6,no
Latonya,female,afam,high,0,4,no
Latoya,female,afam,low,0,6,no
Carrie,female,cauc,low,0,6,no
Ebony,female,afam,high,0,4,no
Latonya,female,afam,low,0,4,no
Laurie,female,cauc,high,0,4,no
Meredith,female,cauc,high,0,4,no
Tremayne,male,afam,high,0,6,no
Allison,female,cauc,low,0,12,no
Carrie,female,cauc,high,0,16,no
Lakisha,female,afam,high,0,7,no
Tamika,female,afam,low,0,15,no
Anne,female,cauc,low,0,1,no
Darnell,male,afam,high,0,11,no
Greg,male,cauc,high,1,1,no
Tamika,female,afam,low,0,3,no
Allison,female,cauc,high,0,8,no
Carrie,female,cauc,low,0,6,no
Kenya,female,afam,high,0,8,no
Tremayne,male,afam,low,0,5,no
Aisha,female,afam,low,0,6,no
Aisha,female,afam,low,0,6,no
Brad,male,cauc,low,0,7,no
Brad,male,cauc,high,0,8,yes
Brendan,male,cauc,low,0,8,no
Ebony,female,afam,high,0,2,yes
Geoffrey,male,cauc,high,0,8,no
Greg,male,cauc,low,0,7,yes
Greg,male,cauc,high,0,8,no
Greg,male,cauc,high,0,2,no
Hakim,male,afam,low,0,6,yes
Jay,male,cauc,low,0,6,no
Jermaine,male,afam,low,0,7,no
Kareem,male,afam,low,0,8,no
Kareem,male,afam,low,0,6,no
Latonya,female,afam,high,0,10,no
Leroy,male,afam,high,0,2,no
Meredith,female,cauc,low,0,7,no
Sarah,female,cauc,high,0,2,no
Sarah,female,cauc,high,0,8,no
Tamika,female,afam,high,0,2,no
Tanisha,female,afam,high,0,8,no
Todd,male,cauc,low,0,7,no
Tremayne,male,afam,high,0,8,no
Emily,female,cauc,high,0,16,no
Kenya,female,afam,low,0,7,no
Latoya,female,afam,high,0,5,no
Sarah,female,cauc,low,0,4,no
Carrie,female,cauc,high,1,5,yes
Jermaine,male,afam,low,1,13,yes
Matthew,male,cauc,low,0,8,yes
Tyrone,male,afam,high,0,20,yes
Allison,female,cauc,low,0,8,yes
Ebony,female,afam,high,0,5,yes
Jay,male,cauc,high,1,20,yes
Tamika,female,afam,low,0,13,yes
Anne,female,cauc,low,0,2,no
Latonya,female,afam,high,0,14,no
Laurie,female,cauc,high,0,4,no
Tanisha,female,afam,low,0,1,no
Ebony,female,afam,high,0,4,no
Jill,female,cauc,low,0,2,no
Kristen,female,cauc,high,0,4,no
Lakisha,female,afam,low,0,1,no
Carrie,female,cauc,high,0,8,no
Jill,female,cauc,low,0,6,no
Keisha,female,afam,low,0,7,no
Rasheed,male,afam,high,0,2,no
Allison,female,cauc,low,0,13,no
Kenya,female,afam,high,0,8,no
Meredith,female,cauc,high,0,9,no
Tamika,female,afam,low,0,4,no
Matthew,male,cauc,low,0,7,no
Tremayne,male,afam,low,0,6,no
Ebony,female,afam,low,0,4,no
Emily,female,cauc,low,0,7,no
Jill,female,cauc,high,0,26,no
Tamika,female,afam,high,0,16,no
Darnell,male,afam,high,0,5,no
Emily,female,cauc,high,1,20,no
Neil,male,cauc,low,0,8,no
Tamika,female,afam,low,0,13,no
Latonya,female,afam,high,0,8,no
Laurie,female,cauc,low,0,5,no
Sarah,female,cauc,high,0,18,no
Tanisha,female,afam,low,0,7,no
Carrie,female,cauc,high,0,8,no
Kareem,male,afam,low,0,6,no
Todd,male,cauc,low,0,7,no
Tyrone,male,afam,high,0,2,no
Anne,female,cauc,low,0,5,no
Jill,female,cauc,high,0,14,no
Kenya,female,afam,low,1,11,no
Latoya,female,afam,high,1,9,no
Anne,female,cauc,high,0,2,no
Ebony,female,afam,high,0,8,no
Emily,female,cauc,low,0,6,no
Keisha,female,afam,low,0,7,no
Allison,female,cauc,low,0,13,no
Kristen,female,cauc,high,0,5,no
Lakisha,female,afam,low,0,7,no
Tanisha,female,afam,high,0,16,no
Brendan,male,cauc,low,0,7,no
Laurie,female,cauc,high,0,2,no
Rasheed,male,afam,high,0,8,no
Tyrone,male,afam,low,0,6,no
Jill,female,cauc,low,0,10,yes
Lakisha,female,afam,high,0,10,yes
Matthew,male,cauc,high,1,6,yes
Tamika,female,afam,low,0,8,yes
Aisha,female,afam,high,0,5,yes
Emily,female,cauc,high,0,7,yes
Keisha,female,afam,low,0,6,yes
Sarah,female,cauc,low,1,11,yes
Anne,female,cauc,high,0,3,no
Emily,female,cauc,low,0,11,no
Latoya,female,afam,low,0,6,no
Tamika,female,afam,high,0,5,no
Kenya,female,afam,low,0,6,no
Kristen,female,cauc,high,0,7,no
Latonya,female,afam,high,0,7,no
Laurie,female,cauc,low,0,6,no
Carrie,female,cauc,high,0,21,yes
Jill,female,cauc,low,0,19,yes
Keisha,female,afam,high,0,23,yes
Latoya,female,afam,low,0,9,yes
Emily,female,cauc,high,0,4,no
Kristen,female,cauc,low,0,4,no
Latoya,female,afam,low,0,4,no
Tamika,female,afam,high,0,4,no
Keisha,female,afam,low,0,6,no
Kristen,female,cauc,low,0,8,no
Lakisha,female,afam,high,0,7,no
Meredith,female,cauc,high,0,6,no
Allison,female,cauc,high,0,9,no
Lakisha,female,afam,high,0,12,no
Meredith,female,cauc,low,0,11,no
Tanisha,female,afam,low,0,11,no
Emily,female,cauc,low,1,21,no
Keisha,female,afam,low,0,19,no
Latonya,female,afam,high,1,20,no
Sarah,female,cauc,high,1,21,no
Aisha,female,afam,high,1,5,no
Jill,female,cauc,high,1,5,no
Latonya,female,afam,low,1,4,no
Sarah,female,cauc,low,1,4,no
Anne,female,cauc,low,0,4,no
Kenya,female,afam,high,0,4,no
Latoya,female,afam,low,0,9,no
Sarah,female,cauc,high,0,4,no
Allison,female,cauc,low,0,6,no
Keisha,female,afam,high,0,5,no
Meredith,female,cauc,high,0,5,no
Tanisha,female,afam,low,0,4,no
Anne,female,cauc,high,0,10,no
Carrie,female,cauc,low,0,11,no
Latonya,female,afam,high,0,11,no
Tanisha,female,afam,low,0,10,no
Allison,female,cauc,low,0,5,yes
Anne,female,cauc,high,0,9,yes
Ebony,female,afam,high,0,5,no
Jill,female,cauc,low,0,4,no
Keisha,female,afam,low,0,2,no
Lakisha,female,afam,high,0,8,yes
Latonya,female,afam,low,0,5,yes
Todd,male,cauc,high,0,5,no
Carrie,female,cauc,high,0,11,yes
Meredith,female,cauc,low,0,6,yes
Tamika,female,afam,high,0,11,yes
Tanisha,female,afam,low,0,6,yes
Aisha,female,afam,high,0,6,yes
Anne,female,cauc,low,0,6,yes
Emily,female,cauc,high,0,6,yes
Latonya,female,afam,low,0,14,yes
Aisha,female,afam,low,0,7,no
Allison,female,cauc,low,0,4,no
Jill,female,cauc,high,0,4,no
Tamika,female,afam,high,0,3,no
Anne,female,cauc,low,0,4,no
Ebony,female,afam,low,0,6,no
Jill,female,cauc,high,0,7,no
Tamika,female,afam,high,0,5,no
Carrie,female,cauc,low,0,3,no
Kenya,female,afam,high,0,5,no
Sarah,female,cauc,high,0,5,no
Tanisha,female,afam,low,0,6,no
Anne,female,cauc,low,0,4,no
Keisha,female,afam,low,0,6,no
Allison,female,cauc,low,0,2,yes
Latoya,female,afam,high,0,6,yes
Sarah,female,cauc,high,0,7,yes
Tamika,female,afam,low,0,5,yes
Anne,female,cauc,low,0,8,no
Jill,female,cauc,high,0,5,no
Kenya,female,afam,high,0,1,no
Lakisha,female,afam,low,0,12,no
Jill,female,cauc,low,0,6,yes
Keisha,female,afam,low,0,8,yes
Lakisha,female,afam,high,0,4,yes
Meredith,female,cauc,high,0,7,yes
Aisha,female,afam,low,0,3,no
Allison,female,cauc,low,0,4,no
Allison,female,cauc,low,0,6,no
Hakim,male,afam,low,0,5,no
Sarah,female,cauc,high,0,3,no
Tamika,female,afam,high,0,5,no
Aisha,female,afam,high,0,12,no
Latoya,female,afam,low,0,6,no
Laurie,female,cauc,low,0,6,no
Meredith,female,cauc,high,0,9,no
Aisha,female,afam,high,0,8,yes
Allison,female,cauc,high,0,8,yes
Allison,female,cauc,high,0,2,yes
Allison,female,cauc,high,0,2,no
Anne,female,cauc,low,0,6,no
Brad,male,cauc,high,0,6,no
Brendan,male,cauc,high,0,2,no
Darnell,male,afam,low,0,6,yes
Emily,female,cauc,high,0,8,no
Geoffrey,male,cauc,low,0,7,no
Greg,male,cauc,low,0,6,no
Hakim,male,afam,low,0,7,no
Hakim,male,afam,high,0,2,no
Jay,male,cauc,low,0,10,no
Jermaine,male,afam,high,0,8,no
Kareem,male,afam,high,0,2,yes
Kenya,female,afam,low,0,7,no
Kenya,female,afam,low,0,7,no
Lakisha,female,afam,high,0,10,no
Latonya,female,afam,high,0,8,no
Meredith,female,cauc,high,0,8,no
Neil,male,cauc,low,0,7,yes
Neil,male,cauc,low,0,7,yes
Rasheed,male,afam,high,0,2,no
Tamika,female,afam,low,0,6,yes
Tanisha,female,afam,low,0,8,no
Todd,male,cauc,low,0,6,no
Tremayne,male,afam,low,0,6,no
Brad,male,cauc,high,0,14,yes
Ebony,female,afam,low,0,26,yes
Jamal,male,afam,high,0,18,yes
Jay,male,cauc,low,0,8,yes
Ebony,female,afam,high,1,26,no
Emily,female,cauc,low,1,7,no
Latonya,female,afam,low,0,4,no
Meredith,female,cauc,high,0,5,no
Lakisha,female,afam,low,0,6,no
Latonya,female,afam,high,0,2,no
Laurie,female,cauc,high,1,8,no
Meredith,female,cauc,low,0,7,no
Darnell,male,afam,low,0,10,yes
Geoffrey,male,cauc,low,0,8,yes
Kristen,female,cauc,high,0,10,yes
Tyrone,male,afam,high,0,6,yes
Jill,female,cauc,high,0,14,no
Latonya,female,afam,high,0,9,no
Sarah,female,cauc,low,0,4,no
Tanisha,female,afam,low,0,13,no
Allison,female,cauc,high,1,9,no
Ebony,female,afam,low,0,4,no
Lakisha,female,afam,high,0,14,no
Laurie,female,cauc,low,1,7,no
Allison,female,cauc,low,0,7,no
Emily,female,cauc,high,0,14,no
Tamika,female,afam,high,0,9,no
Tanisha,female,afam,low,0,13,no
Allison,female,cauc,low,1,13,no
Brett,male,cauc,high,0,23,no
Jermaine,male,afam,low,0,10,no
Tanisha,female,afam,high,0,18,no
Aisha,female,afam,low,0,6,yes
Allison,female,cauc,high,0,6,yes
Jill,female,cauc,low,0,6,yes
Latonya,female,afam,high,0,6,yes
Carrie,female,cauc,high,0,11,no
Ebony,female,afam,high,0,12,no
Latoya,female,afam,low,0,12,no
Laurie,female,cauc,low,0,11,no
Carrie,female,cauc,high,0,7,no
Keisha,female,afam,high,0,7,no
Latonya,female,afam,low,0,7,no
Sarah,female,cauc,low,0,7,no
Allison,female,cauc,low,0,12,no
Ebony,female,afam,low,0,13,no
Kenya,female,afam,high,0,12,no
Sarah,female,cauc,high,0,11,no
Aisha,female,afam,high,0,5,no
Jill,female,cauc,low,0,5,no
Kristen,female,cauc,high,0,6,no
Latonya,female,afam,low,0,6,no
Anne,female,cauc,low,0,3,no
Ebony,female,afam,low,0,2,no
Kristen,female,cauc,high,0,5,no
Latoya,female,afam,high,0,5,no
Ebony,female,afam,high,0,7,no
Jill,female,cauc,low,0,6,no
Sarah,female,cauc,high,0,7,no
Tamika,female,afam,low,0,7,no
Emily,female,cauc,high,0,8,no
Keisha,female,afam,low,0,6,no
Kenya,female,afam,high,0,8,no
Sarah,female,cauc,low,0,7,no
Aisha,female,afam,low,0,9,yes
Ebony,female,afam,high,0,4,yes
Jill,female,cauc,high,0,4,yes
Meredith,female,cauc,low,0,4,yes
Anne,female,cauc,high,0,6,no
Emily,female,cauc,low,0,6,no
Latoya,female,afam,low,0,5,no
Tamika,female,afam,high,0,7,no
Allison,female,cauc,low,0,4,yes
Emily,female,cauc,high,0,5,yes
Kenya,female,afam,high,0,4,yes
Tamika,female,afam,low,0,7,yes
Allison,female,cauc,low,0,5,no
Carrie,female,cauc,high,0,11,yes
Keisha,female,afam,low,0,6,yes
Lakisha,female,afam,low,0,5,no
Laurie,female,cauc,low,0,6,yes
Tanisha,female,afam,high,0,11,yes
Anne,female,cauc,low,0,6,yes
Carrie,female,cauc,high,0,11,yes
Keisha,female,afam,low,0,6,yes
Tamika,female,afam,high,0,11,yes
Allison,female,cauc,high,0,6,yes
Latonya,female,afam,low,0,14,yes
Laurie,female,cauc,low,0,6,yes
Tamika,female,afam,high,0,6,yes
Allison,female,cauc,low,0,4,no
Keisha,female,afam,high,0,8,no
Meredith,female,cauc,high,0,3,no
Tanisha,female,afam,low,0,3,no
Jill,female,cauc,low,0,6,yes
Lakisha,female,afam,high,0,21,yes
Sarah,female,cauc,high,0,3,yes
Tamika,female,afam,low,0,4,yes
Anne,female,cauc,high,0,2,no
Ebony,female,afam,low,0,19,no
Sarah,female,cauc,low,0,8,no
Tanisha,female,afam,high,0,5,no
Carrie,female,cauc,high,0,3,yes
Keisha,female,afam,high,0,3,yes
Latonya,female,afam,low,0,4,yes
Sarah,female,cauc,low,0,4,yes
Carrie,female,cauc,low,0,4,yes
Latoya,female,afam,high,0,12,yes
Meredith,female,cauc,high,0,21,yes
Tanisha,female,afam,low,0,7,yes
Allison,female,cauc,high,0,16,no
Ebony,female,afam,high,0,5,no
Lakisha,female,afam,low,0,6,no
Laurie,female,cauc,low,0,3,no
Kenya,female,afam,low,0,15,no
Laurie,female,cauc,low,0,3,no
Jay,male,cauc,high,0,6,no
Keisha,female,afam,high,0,8,no
Emily,female,cauc,low,0,6,no
Kenya,female,afam,low,0,7,no
Sarah,female,cauc,high,0,5,no
Tanisha,female,afam,high,0,5,no
Aisha,female,afam,low,0,6,no
Allison,female,cauc,low,0,7,no
Allison,female,cauc,high,0,2,yes
Anne,female,cauc,high,0,2,no
Brad,male,cauc,high,0,8,no
Brad,male,cauc,high,0,2,no
Brett,male,cauc,high,0,6,no
Carrie,female,cauc,low,0,6,yes
Carrie,female,cauc,high,0,10,no
Emily,female,cauc,low,0,8,no
Jamal,male,afam,high,0,10,no
Jay,male,cauc,low,0,6,no
Jay,male,cauc,high,0,2,yes
Jermaine,male,afam,low,0,8,no
Jill,female,cauc,low,0,7,no
Kareem,male,afam,low,0,7,yes
Kareem,male,afam,low,0,6,no
Kareem,male,afam,high,0,8,yes
Keisha,female,afam,high,0,8,yes
Latonya,female,afam,low,0,7,no
Latonya,female,afam,high,0,8,no
Latoya,female,afam,high,0,2,no
Laurie,female,cauc,low,0,6,no
Leroy,male,afam,high,0,8,no
Neil,male,cauc,high,0,8,no
Rasheed,male,afam,low,0,7,yes
Sarah,female,cauc,low,0,6,yes
Sarah,female,cauc,low,0,8,no
Tanisha,female,afam,low,0,10,no
Tanisha,female,afam,high,0,2,no
Tremayne,male,afam,high,0,8,no
Tyrone,male,afam,low,0,7,no
Kristen,female,cauc,high,0,9,no
Latonya,female,afam,high,0,14,no
Sarah,female,cauc,low,0,7,no
Tanisha,female,afam,low,0,13,no
Ebony,female,afam,high,0,26,yes
Emily,female,cauc,high,0,8,yes
Lakisha,female,afam,low,0,13,yes
Sarah,female,cauc,low,0,11,yes
Anne,female,cauc,low,1,2,no
Latoya,female,afam,low,1,13,no
Meredith,female,cauc,high,0,4,no
Tanisha,female,afam,high,0,19,no
Anne,female,cauc,high,0,10,no
Hakim,male,afam,high,0,10,no
Jay,male,cauc,low,0,18,no
Latoya,female,afam,low,0,26,no
Aisha,female,afam,low,0,4,yes
Emily,female,cauc,low,0,4,yes
Jill,female,cauc,high,0,4,yes
Keisha,female,afam,high,0,4,yes
