WAGE,OCCUPATION,SECTOR,UNION,EDUCATION,EXPERIENCE,AGE,SEX,MARR,RACE,SOUTH
6.5,6,0,0,12,28,46,0,1,3,0
10,6,2,0,10,12,28,0,1,3,0
5.65,2,0,0,16,6,28,1,1,3,0
9,3,0,1,12,20,38,0,1,3,0
4.5,4,0,0,11,2,19,0,0,3,0
19,1,1,0,18,13,37,0,0,3,0
11.11,2,0,0,12,28,46,0,1,3,1
13.28,6,1,0,16,11,33,0,1,3,0
7.45,5,0,0,12,25,43,1,0,3,1
5.8,1,0,0,16,14,36,0,1,3,0
12,6,1,1,12,20,38,0,1,3,1
13.95,1,0,0,18,14,38,1,1,3,0
7.5,4,0,0,12,10,28,1,0,3,0
8.75,5,0,0,12,30,48,0,1,3,0
7.5,2,0,0,14,2,22,0,0,3,0
6.25,6,0,0,12,1,19,0,0,3,1
10.53,3,1,0,14,12,32,1,1,3,0
2.01,4,0,0,13,0,19,0,0,3,1
6.4,2,0,0,12,45,63,1,1,3,0
4.75,6,0,0,12,8,26,0,1,3,0
7,5,0,0,17,2,25,0,1,3,1
6,1,0,0,16,8,30,0,0,3,1
6.5,6,0,0,10,30,46,0,1,3,0
5.5,3,0,0,16,2,24,1,0,3,0
4.17,4,0,0,12,27,45,1,1,3,0
3.5,6,1,0,8,8,22,0,1,2,1
8.5,3,0,0,12,2,20,0,0,1,1
14.67,4,0,0,14,16,36,0,1,1,0
6.1,5,0,0,12,33,51,1,1,1,0
6.15,5,0,0,16,16,38,1,0,3,0
15,6,1,0,16,12,34,0,1,3,0
13.89,5,1,0,16,17,39,1,0,3,0
4.35,5,0,0,12,3,21,1,1,3,0
4.85,6,1,0,9,16,31,1,1,3,0
3.4,4,0,0,8,49,63,1,0,3,0
9.5,4,0,1,9,46,61,1,1,3,0
6.25,5,0,0,16,7,29,1,1,3,0
4.3,6,2,0,13,8,27,0,0,3,1
4.5,3,0,0,13,0,19,1,0,3,1
13.51,5,0,1,18,14,38,0,1,3,0
7.53,3,0,0,14,1,21,0,0,3,1
11.02,3,0,1,14,12,32,0,1,3,1
7.61,6,2,0,12,20,38,0,1,1,1
6.88,6,0,0,8,22,36,1,1,2,0
5.3,1,0,0,12,14,32,0,1,1,1
8.75,6,0,0,12,9,27,0,0,3,0
5.25,3,0,0,12,8,26,1,0,3,0
16.42,5,1,0,14,19,39,0,0,3,0
3.4,4,0,0,8,29,43,1,1,1,0
13,4,0,1,12,25,43,0,1,1,0
5,2,0,0,12,14,32,1,1,3,0
7.5,6,0,0,12,38,56,0,1,3,1
8.06,5,0,0,13,17,36,0,1,3,1
12.5,3,0,1,12,14,32,1,1,3,0
7.69,3,0,0,12,19,37,0,1,3,0
19.38,5,0,0,16,11,33,1,1,3,0
10.32,3,0,0,13,28,47,1,0,3,1
3.75,4,0,0,2,16,24,0,0,2,0
6.5,5,0,0,12,11,29,1,0,3,0
6.1,6,1,1,10,44,60,1,0,3,0
7,6,1,0,3,55,64,0,1,2,1
20,1,0,0,18,19,43,1,1,3,0
11.67,3,2,0,12,43,61,1,1,3,0
5.5,6,0,1,11,18,35,0,1,3,0
7,4,0,0,12,26,44,1,1,3,1
10.5,6,0,1,12,4,22,0,1,3,0
8.75,3,0,0,13,10,29,1,1,3,1
