score,rank,gender,age,cls_perc_eval,bty_avg
2.9,tenure track,female,60,35,4.333
3,tenured,male,52,66.66666,5.833
2.8,tenure track,male,37,88.23529,6.167
3.4,tenured,male,64,81.81818,2.333
4.6,teaching,male,58,87.5,7.833
4.4,tenured,female,38,84.05797,6.5
3.5,tenured,male,38,50.63291,3.333
3.4,tenured,female,42,70.96774,6.167
3.7,tenure track,female,42,80,5.333
4.4,tenured,male,43,76.92308,4.333
4.4,tenure track,female,36,55.81395,5
4.2,tenured,male,38,78.57143,3.333
3,teaching,female,57,60.71429,4.333
3.4,teaching,female,52,81.39535,2.333
3.2,tenured,male,57,59.79382,3
4.6,tenured,female,38,76.25,6.5
2.5,tenured,male,62,40,2
3.7,tenure track,female,36,68.8,5
4.3,tenure track,female,31,88.13559,7.333
4.2,tenured,female,46,80,4.333
3.7,teaching,female,52,87.09677,4.833
3.5,teaching,female,57,43.47826,4.333
4.1,tenure track,male,42,92.85714,4
3.5,tenured,male,52,62.90322,5.833
4.7,teaching,male,58,85,7.833
4,tenured,male,57,53.84615,3
4.2,tenured,female,40,96,3.167
3.6,teaching,female,57,30.43478,4.333
3.1,teaching,female,39,96.42857,8.167
4.2,teaching,female,52,78.66666,2.333
4.7,teaching,male,45,68.42105,3.333
3.7,tenured,male,52,60,5.833
3.8,tenured,male,57,70.58823,2.833
2.4,tenured,male,62,49.26471,2
4.6,tenure track,female,31,87.5,7.333
3.2,teaching,female,52,86.36364,4.833
4.1,tenured,male,52,85.07462,3.167
4,tenured,female,40,90,3.167
3.5,tenured,female,40,56,3.167
4.1,tenured,male,57,87.80488,5.667
4.1,teaching,female,50,79.31035,3.167
4.6,tenured,male,51,63.87337,6.167
4.6,tenure track,female,36,62.60163,5
4.1,tenure track,female,42,77.61194,5.333
4.8,tenured,female,46,93.33334,4.333
4.7,teaching,male,50,76.92308,3.333
3,tenured,male,57,54.08163,3
3,teaching,female,52,86.11111,4.833
3,tenured,male,64,50,2.333
4.1,tenured,female,51,94.11765,4
3.1,tenured,male,61,69.23077,3.333
3.5,tenure track,female,60,94.73684,4.333
4.1,tenure track,female,60,88.88889,4.333
4.1,tenured,male,57,100,2.833
4,tenure track,female,33,85.29412,4.167
2.9,tenure track,female,29,73.07692,2.833
4,tenured,female,51,100,4
3,tenured,male,52,83.60656,3.167
4.7,teaching,male,50,81.81818,3.333
4.3,teaching,female,52,86.53846,2.333
3.5,tenured,female,56,63.15789,3.833
3.1,teaching,female,56,69.38776,2.5
2.9,teaching,female,57,80,4.333
4,tenure track,male,35,95.83334,4.833
3.6,tenured,male,64,45.45454,2.333
4.2,tenured,male,61,81.48148,4.833
2.5,tenured,male,62,35.76642,2
4.7,teaching,male,50,85,3.333
3.4,tenured,male,52,86.95652,3.167
3.8,tenured,male,38,50.57471,3.333
4.2,tenured,male,50,93.75,7.167
4.3,teaching,male,58,95,7.833
4.7,teaching,male,58,94.11765,7.833
2.8,tenured,male,62,28.94737,2
3.6,tenured,female,44,89.74359,6.5
4.2,tenured,female,51,100,4
3.4,tenured,male,57,87.5,2.833
4.8,teaching,male,50,95.2381,3.333
3.8,tenured,male,62,44.82759,2
4.3,tenured,female,38,69.42675,6.5
3.5,tenured,male,64,100,2.333
2.9,tenured,male,57,84.21053,2.833
2.9,teaching,female,50,64.28571,3.167
4.2,tenured,male,43,61.53846,4.333
4.6,tenured,female,46,92,4.333
4.1,tenured,male,38,65.21739,3.333
2,tenured,male,64,81.81818,2.333
4.1,tenured,female,51,61.90476,4
4,tenured,male,61,86.66666,3.333
3.4,tenured,male,52,78.07018,3.167
4.3,tenure track,female,31,90.90909,7.333
3.2,tenured,male,50,90,7.167
4.6,tenured,male,52,95.65218,3.167
4.4,tenured,female,46,81.57895,4.333
3.6,tenured,male,52,89.26174,3.167
4.4,teaching,female,50,66.66666,3.167
4.2,tenured,male,57,81.81818,5.667
4.7,tenured,male,42,83.33334,7.833
4.7,tenured,male,51,61.10057,6.167
4.6,tenured,male,52,90,3.167
4.3,tenured,male,61,62.7907,4.833
4.8,teaching,male,58,84.61539,7.833
2.8,teaching,female,39,91.66666,8.167
4.2,tenured,male,39,75.86207,5.667
4.8,teaching,male,58,85.71429,7.833
3.5,tenured,female,44,54.54546,6.5
2.9,tenured,female,51,60.97561,4
3.8,tenured,male,57,80.76923,5.667
4,teaching,female,56,84.375,2.5
4.3,teaching,female,39,86.95652,8.167
1.8,tenured,female,51,80,4
4.1,tenure track,female,33,80.48781,4.167
4.8,tenured,male,57,40,2.833
4.1,teaching,female,50,81.48148,3.167
4.3,tenured,male,52,81.48148,3.167
4,tenured,male,52,90,3.167
4.6,tenured,female,38,70.76923,6.5
1.8,tenured,male,60,62.5,1.667
4.3,tenured,male,57,88.23529,2.833
4.3,tenured,male,64,50,2.333
4.6,tenured,male,61,86.36364,4.833
4.1,tenure track,male,42,100,4
4.4,teaching,female,39,78.26087,8.167
3.5,tenured,male,52,50.74627,5.833
3.7,tenure track,female,33,90.2439,4.167
4,teaching,female,56,66.03773,2.5
4.6,teaching,female,56,88.63636,2.5
3.1,teaching,female,50,90.47619,3.167
3.8,tenured,male,42,52.32558,2.667
4.1,tenure track,female,60,50,4.333
4.6,teaching,male,58,94.11765,7.833
3.2,tenured,male,43,82.27848,4.333
4.1,teaching,female,56,65.85366,2.5
4.2,teaching,female,52,70.83334,2.333
4.2,teaching,male,50,90.47619,3.333
4.3,tenured,male,61,81.57895,4.833
